Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;Marca;Modello;TipoPersona;AnnoNascita;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3392989;5;13/07/2017 03:25;;VIA DI PORTONACCIO;all'intersezione con;VIA TIBURTINA;VIA TIBURTINA;;;Fuoriuscita dalla sede stradale;;;;;;;;;;1;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1986;M;Rimandato;0;NON DECEDUTO;Esente;
3393347;2;13/07/2017 14:00;;VIA SALARIA;da specificare;;;;fronte civico 408;Tamponamento;;;;;;;;;;3;0;0;0;;;0;3;Velocipede;In marcia / fermata / arresto;Bottecchia;Mountain bike;Conducente;2001;M;Rimandato;0;NON DECEDUTO;Esente;
3394064;11;13/07/2017 23:15;Strada Urbana;LUNGOTEVERE DEGLI INVENTORI;all'intersezione semaforizzata con;VIALE GUGLIELMO MARCONI;VIALE GUGLIELMO MARCONI;;;Tamponamento;Intersezione semaforizzata;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;1;0;0;1;12,47006;41,86129;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1999;M;Rimandato;0;NON DECEDUTO;Esente;
3394088;20;13/07/2017 11:10;Comunale extraurbana;VIA DELLA GIUSTINIANA;in corrispondenza;;del civico n.;f.c. 1012;;Veicolo in marcia contro ostacolo accidentale;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;0;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;Moser;(non accertato);Conducente;1952;M;Illeso;0;;Esente;
3397160;10;16/07/2017 18:50;;VIA APPIA PIGNATELLI;in prossimità;;del civico n.;291;;Veicolo in marcia contro veicoli in sosta;;;;;;;;;;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1995;M;Rimandato;0;NON DECEDUTO;Esente;
3402811;4;20/07/2017 09:45;;VIA CAVRIGLIA;in prossimità;;del civico n.;23;;Veicolo in marcia contro ostacolo fisso;;;;;;;;;;1;0;0;0;12,51505;41,94759;0;1;Velocipede;In marcia / fermata / arresto;(ignoto);(ignoto);Conducente;1984;M;Rimandato;0;NON DECEDUTO;Esente;
3403648;13;21/07/2017 10:30;;VIA ARMANDO ARMUZZI;da specificare;;;;pross. P.le della Posta ;Veicolo in marcia contro ostacolo accidentale;;;;;;;;;;0;0;0;1;;;0;1;Velocipede;In marcia / fermata / arresto;Bianchi;(ignoto);Conducente;1975;M;Illeso;0;;Esente;
3406674;15;24/07/2017 16:55;;VIA DI AFFOGALASINO;in prossimità;;del civico n.;136;;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;1;12,43529;41,85321;0;2;Velocipede;In marcia / fermata / arresto;esperia;uomo;Conducente;0;M;Rimandato;0;NON DECEDUTO;Esente;
3406876;1;23/07/2017 15:00;Strada Urbana;VIA DEI DUE MACELLI;all'intersezione semaforizzata con;VIA DI CAPO LE CASE;VIA DI CAPO LE CASE;;;Veicolo in marcia contro ostacolo accidentale;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;(non accertato);(non accertato);Conducente;1993;M;Ricoverato;0;NON DECEDUTO;Esente;
3406927;1;23/07/2017 13:20;Strada Urbana;VIA EMANUELE FILIBERTO;in prossimità;;del civico n.;191;;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;2;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;Graziella;(non accertato);Conducente;1999;M;Rimandato;0;NON DECEDUTO;Esente;
3408755;10;26/07/2017 11:20;Statale entro l'abitato;VIA DI PASSOLOMBARDO;in corrispondenza;;del civico n.;35;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Sufficiente;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Shimado;Bikes;Conducente;2002;M;Rimandato;0;NON DECEDUTO;Esente;
3409139;3;25/07/2017 17:00;;VIALE PRETORIANO;all'intersezione semaforizzata con;VIALE PIERO GOBETTI;VIALE PIERO GOBETTI;;;Investimento di pedone;;;;;;;;;;2;0;0;0;;;0;1;Velocipede;In marcia / fermata / arresto;Chiorda;tipo uomo;Conducente;0;M;Rifiuta cure immediate;0;NON DECEDUTO;Esente;
3409729;6;27/07/2017 08:30;Strada Urbana;VIALE DELLA VENEZIA GIULIA;all'intersezione con;VIA MONTONA;VIA MONTONA;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;;;0;2;Velocipede;In marcia / fermata / arresto;Cobran;(ignoto);Conducente;1989;M;Rimandato;0;NON DECEDUTO;Esente;
3410287;9;18/07/2017 22:30;;PIAZZA RAGUSA;all'intersezione con;VIA DELLA STAZIONE TUSCOLANA;VIA DELLA STAZIONE TUSCOLANA;;;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;1;0;0;0;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1976;M;Rimandato;0;NON DECEDUTO;Esente;
3410318;2;27/07/2017 11:40;;LUNGOTEVERE ARNALDO DA BRESCIA;da specificare;;;;sottopasso;Scontro laterale fra veicoli in marcia;;;;;;;;;;1;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;0;M;Rimandato;0;NON DECEDUTO;Esente;
3410481;23;26/07/2017 19:30;;PIAZZALE CRISTOFORO COLOMBO;all'intersezione con;LUNGOMARE LUTAZIO CATULO;LUNGOMARE LUTAZIO CATULO;;;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(ignoto);(non accertato);Conducente;1982;M;Illeso;0;;Esente;
3411592;2;27/07/2017 12:20;;PIAZZALE BRASILE;all'intersezione semaforizzata con;VIALE SAN PAOLO DEL BRASILE;VIALE SAN PAOLO DEL BRASILE;;;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;0;0;0;3;;;0;1;Velocipede;In marcia / fermata / arresto;RISCIO';(non accertato);Conducente;1990;F;Illeso;0;;Esente;
3411592;2;27/07/2017 12:20;;PIAZZALE BRASILE;all'intersezione semaforizzata con;VIALE SAN PAOLO DEL BRASILE;VIALE SAN PAOLO DEL BRASILE;;;Scontro frontale/laterale SX fra veicoli in marcia;;;;;;;;;;0;0;0;3;;;0;1;Velocipede;In marcia / fermata / arresto;RISCIO';(non accertato);Passeggero;1988;F;Illeso;0;;Esente;
3413921;23;29/07/2017 11:00;;VIA CRISTOFORO COLOMBO;in corrispondenza;;della chilometrica;16;;Scontro laterale fra veicoli in marcia;;;;;;;;;;0;0;0;2;;;0;2;Velocipede;In marcia / fermata / arresto;(non accertato);(ignoto);Conducente;1951;M;Illeso;0;;Esente;
