Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Diflubenzuron;Piriproxyfen;Etocinque;Amplat;Proxilar;Exit 100;Veloxidin;Porter;AcquaPy;Roltab;Cipekill EC;Aqua k-othrine;Sumilarv;Bifemite;Cymina plus;Sandokan ?;Rotryn 200;Diflox;Microsin;Juvenox sc 15;Cyperbase;Permebase;Permex 22 E;Cipex 10 E;Bio Revanol;Rotryn 50;Green larv;Flubex;Garban;Tator;Pertrin S;Vectobac dt;B. Thuringensis;Permaplus;Cipertrin;Solfac;Nexa;K othrine flow 25;Device TB 2;Ekoset;Difenax ?;Olio neem;Piretro;K othrine AL;Metoprene;Delta Super;Cidomax;Decapy flow;Deltrin flow;Skcetal ?;Altogran;Deltabios;Fenthrin;Ciperwall;Aedex;Adicip 10;Zammo ?;Wacip 1000;Zagorp ?;Romal 65;Baycidal;Deadyna;Boxtar;Petrini L;Cipermetrina;Tetrametrina;Pluricid;Murelle;Permetrina;Permesol;Sandokan Bio Tiger;Delta Kill Flow;Tetraprem ABD;Toolex;Crackdown Rapid;Crackdown Ultra
Via Beato Battista Spagnoli 57;00144;RM;Roma;9;Italia;Larvicida e adulticida;3;3;20/05/2014;23/09/2014;24/06/2014;23/09/2014;60 giorni;60 giorni;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Nanchino 212;00144;RM;Roma;9;Italia;Larvicida e adulticida;4;4;ago-14;nov-14;ago-14;nov-14;20-25 giorni;20-25 giorni;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Alessandro Torlonia 12;;RM;Roma;2;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Livilla 7/29;;RM;Roma;7;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Primo Conti 24;;RM;Roma;7;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Alberto Burri 44;;RM;Roma;7;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale San Giovanni Bosco 86/110/128;;RM;Roma;7;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Calpurnio Fiamma 53;;RM;Roma;7;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Acquaro 8/24/110;;RM;Roma;7;Italia;Larvicida e adulticida;2;2;giu-14;lug-14;giu-14;lug-14;mensile;mensile;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cherso 42;;RM;Roma;5;Italia;Larvicida e adulticida;2;2;giu-14;lug-14;giu-14;lug-14;mensile;mensile;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
