Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Diflubenzuron;Piriproxyfen;Etocinque;Amplat;Proxilar;Exit 100;Veloxidin;Porter;AcquaPy;Roltab;Cipekill EC;Aqua k-othrine;Sumilarv;Bifemite;Cymina plus;Sandokan ?;Rotryn 200;Diflox;Microsin;Juvenox sc 15;Cyperbase;Permebase;Permex 22 E;Cipex 10 E;Bio Revanol;Rotryn 50;Green larv;Flubex;Garban;Tator;Pertrin S;Vectobac dt;B. Thuringensis;Permaplus;Cipertrin;Solfac;Nexa;K othrine flow 25;Device TB 2;Ekoset;Difenax ?;Olio neem;Piretro;K othrine AL;Metoprene;Delta Super;Cidomax;Decapy flow;Deltrin flow;Skcetal ?;Altogran;Deltabios;Fenthrin;Ciperwall;Aedex;Adicip 10;Zammo ?;Wacip 1000;Zagorp ?;Romal 65;Baycidal;Deadyna;Boxtar;Petrini L;Cipermetrina;Tetrametrina;Pluricid;Murelle;Permetrina;Permesol;Sandokan Bio Tiger;Delta Kill Flow;Tetraprem ABD;Toolex;Crackdown Rapid;Crackdown Ultra
Via Nomentana 295;00161;RM;Roma;2;Italia;Larvicida e adulticida;1;4;01/05/2014;15/11/2014;01/05/2014;15/11/2014;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Appia Nuova 165;00183;RM;Roma;7;Italia;Larvicida e adulticida;1;4;01/05/2014;15/11/2014;01/05/2014;15/11/2014;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale dei Romanisti 270;00169;RM;Roma;6;Italia;Larvicida;8;0;15/04/2014;15/10/2014;-;-;3 settimane;-;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Appia Nuova 898;00178;RM;Roma;7;Italia;Larvicida e adulticida;5;5;feb-14;mar-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Benigno di Tullio 16;00173;RM;Roma;7;Italia;Larvicida e adulticida;3;3;06/06/2014;31/08/2014;06/06/2014;31/08/2014;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Latina 33;00179;RM;Roma;7;Italia;Larvicida e adulticida;4;4;30/04/2014;11/09/2014;30/04/2014;11/09/2014;mensile;mensile;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Africa 28;00144;RM;Roma;9;Italia;Larvicida e adulticida;3;1;15/07/2014;01/09/2014;15/07/2014;01/09/2014;3 settimane;3 settimane;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Sisto IV   113-117;00167;RM;Roma;13;Italia;Larvicida;12;0;27/04/2014;15/07/2014;-;-;3 settimane;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Bonaventura Cerretti 25;00167;RM;Roma;13;Italia;Larvicida;10;0;16/04/2014;28/07/2014;-;-;2-3 al mese;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pietro Quintini 10;00136;RM;Roma;14;Italia;Larvicida;10;0;16/04/2014;28/07/2014;-;-;2-3 al mese;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Luigi Robecchi Brichetti 5-9;00154;RM;Roma;1;Italia;Larvicida e adulticida;8;4;01/06/2014;30/09/2014;01/06/2014;30/09/2014;2 al mese;mensile;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Pittaco 14-40 / Via Erodoto 41-55;00124;RM;Roma;10;Italia;Larvicida;8;0;giu-14;set-14;-;-;2 settimane;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Erodoto 36-62 / Via di Casalpalocco 93-107;00124;RM;Roma;10;Italia;Larvicida;8;0;giu-14;set-14;-;-;2 settimane;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Anassagora 7-133 / Via Apelle 61-109;00124;RM;Roma;10;Italia;Larvicida;8;0;giu-14;set-14;-;-;2 settimane;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Aristobulo 12-20;00124;RM;Roma;10;Italia;Larvicida;8;0;giu-14;set-14;-;-;2 settimane;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Alessandro Magno 220-272 / Viale Timocle 83-137;00124;RM;Roma;10;Italia;Larvicida;10;0;05/05/2014;30/09/2014;-;-;2 settimane;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Solone 32-46 / Via Pittaco 17-43;00124;RM;Roma;10;Italia;Larvicida;10;0;05/05/2014;30/09/2014;-;-;2 settimane;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Archelao di Mileto 30;00124;RM;Roma;10;Italia;Larvicida;10;0;05/05/2014;30/09/2014;-;-;2 settimane;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Anassagora 145-169;00124;RM;Roma;10;Italia;Larvicida e adulticida;8;4;mag-14;set-14;giu-14;ago-14;15 giorni;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Enrico Bondi 162;00166;RM;Roma;13;Italia;Larvicida;1;0;04/07/2014;04/07/2014;-;-;1 volta;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Enrico Bondi 163;00166;RM;Roma;13;Italia;Larvicida;1;0;04/07/2014;04/07/2014;-;-;1 volta;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giovanni Senzaterra 41;00166;RM;Roma;13;Italia;Larvicida;1;0;04/07/2014;04/07/2014;-;-;1 volta;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Francesco Maria Torrigio 49;00168;RM;Roma;14;Italia;Larvicida;1;0;04/07/2014;04/07/2014;-;-;1 volta;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via San Igino Papa 74;00168;RM;Roma;14;Italia;Larvicida;1;0;04/07/2014;04/07/2014;-;-;1 volta;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Jacopo Gaetano Stefaneschi 8;00168;RM;Roma;14;Italia;Larvicida;6;0;30/04/2014;30/09/2014;-;-;mensile;-;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Largo Rina Morelli 15;0013;RM;Roma;3;Italia;Larvicida e adulticida;5;5;lug-14;nov-14;lug-14;nov-14;mensile;mensile;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Gerolamo Cardano 99;00146;RM;Roma;11;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Mondovç 12;00183;RM;Roma;7;Italia;Adulticida;0;1;-;-;17/07/2014;17/07/2014;-;1 volta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;
Via Balsorano 31-37;00132;RM;Roma;6;Italia;Larvicida e adulticida;6;6;mag-14;ott-14;mag-14;ott-14;25 giorni;25 giorni;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via San Marino 15;;RM;Roma;2;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giuseppe Montanelli 2A;;RM;Roma;1;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cornelio Celso 218;00161;RM;Roma;2;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ghino Valenti 12;00191;RM;Roma;15;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Rocca di Mezzo 3;00135;RM;Roma;15;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Decio Filipponi 14;00136;RM;Roma;14;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Lavinio 16-18;00183;RM;Roma;7;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Luigi Mancinelli 65;00199;RM;Roma;2;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Acherusio 32;00199;RM;Roma;2;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Margutta 33;;RM;Roma;1;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cornelio Celso 219;00161;RM;Roma;2;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Angiolo Cabrini 8-22 / Via Cesare Fani 121;00139;RM;Roma;3;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corso trieste 123;;RM;Roma;2;Italia;Larvicida e adulticida;5;5;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via San Quintino 5;00185;RM;Roma;1;Italia;Larvicida e adulticida;1;4;mag-14;mag-14;giu-14;set-14;1 volta;mensile;;;;x;x;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via San Quintino 16;00185;RM;Roma;1;Italia;Larvicida e adulticida;1;4;mag-14;mag-14;giu-14;set-14;1 volta;mensile;;;;x;x;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via del Casale di San Basilio 256;00156;RM;Roma;4;Italia;Larvicida e adulticida;6;4;20/05/2014;ott-14;20/05/2014;ott-14;3 settimane;mensile;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via del Casale di San Basilio 264;00156;RM;Roma;4;Italia;Larvicida e adulticida;6;4;20/05/2014;ott-14;20/05/2014;ott-14;3 settimane;mensile;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Belforte del Chienti 25;00156;RM;Roma;4;Italia;Larvicida e adulticida;6;4;20/05/2014;ott-14;20/05/2014;ott-14;3 settimane;mensile;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Nomentana 1014;00137;RM;Roma;4;Italia;Larvicida e adulticida;6;4;20/05/2014;ott-14;20/05/2014;ott-14;3 settimane;mensile;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via dei Genieri 161;00143;RM;Roma;9;Italia;Larvicida e adulticida;3;3;03/06/2014;ago-14;03/06/2014;ago-14;mensile;mensile;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Santa Croce in gerusalemme 92;00185;RM;Roma;1;Italia;Larvicida e adulticida;3;3;03/06/2014;ago-14;03/06/2014;ago-14;mensile;mensile;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via S. Petronila 9;00147;RM;Roma;8;Italia;Larvicida e adulticida;5;5;giu-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ciro Menotti 24;00144;RM;Roma;1;Italia;Larvicida e adulticida;5;5;giu-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Largo Valerio Bacigalupo 32-33;00142;RM;Roma;8;Italia;Larvicida e adulticida;6;6;mag-14;ott-14;mag-14;ott-14;3 settimane;3 settimane;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via P. A. Paoli 54;00144;RM;Roma;9;Italia;Larvicida e adulticida;6;6;mag-14;ott-14;mag-14;ott-14;3 settimane;3 settimane;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Calcutta 45;00144;RM;Roma;9;Italia;Larvicida e adulticida;6;6;mag-14;ott-14;mag-14;ott-14;3 settimane;3 settimane;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via G. Massaia 35;00154;RM;Roma;8;Italia;Larvicida e adulticida;6;6;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via A. Barilatti 61-63;00144;RM;Roma;9;Italia;Larvicida e adulticida;6;6;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via C. Rebora 5;00143;RM;Roma;9;Italia;Larvicida e adulticida;6;6;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via C. Rebora 6;00143;RM;Roma;9;Italia;Larvicida e adulticida;6;6;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via F. B. Rastrelli 109;;RM;Roma;9;Italia;Larvicida e adulticida;6;6;mag-14;set-14;mag-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via F. Tovaglieri 213;00155;RM;Roma;5;Italia;Larvicida e adulticida;6;6;apr-14;ott-14;mag-14;ott-14;mensile;mensile;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ercole Rosa 8;00153;RM;Roma;1;Italia;Larvicida;6;0;mag-14;ott-14;-;-;mensile;-;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Sesto San Giovanni 146;00139;RM;Roma;10;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Sorelle Tetrazzini 39;00139;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Isole Curzolane 18;00139;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Isole Curzolane 166;00139;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Isole Curzolane 168;00139;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Isole Curzolane 170;00139;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Carlo Muscetta 132/40;00139;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cesare Fani 44;00139;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Ottaviano Vimercati 6;00139;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Val Padana 43;00141;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via dei Prati Fiscali 188/222;00141;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Capo Miseno 6/8;00141;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val di Cogne 12;00141;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via delle Cave Fiscali 13;00141;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val Senio 13;00141;RM;Roma;3;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Archimede 179;00197;RM;Roma;2;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ettore Ximenes 3;00197;RM;Roma;2;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Domenico Chelini 10;00197;RM;Roma;2;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Brescia 16;00198;RM;Roma;2;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Savoia 86;00198;RM;Roma;2;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Savoia 88;00198;RM;Roma;2;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tagliamento 24;00198;RM;Roma;2;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via EndertÖ 31;00199;RM;Roma;2;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ostilia 55;00184;RM;Roma;1;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Eritrea 9;00199;RM;Roma;2;Italia;Larvicida e adulticida;6;6;apr-14;set-14;apr-14;set-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Po 43;00198;RM;Roma;2;Italia;Larvicida;6;0;mag-14;ott-14;-;-;mensile;-;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Po 45;00198;RM;Roma;2;Italia;Larvicida;6;0;mag-14;ott-14;-;-;mensile;-;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
