CS	Cassetta sonora	Q2	BIBLIOTECA RENATO NICOLINI	4	4
CS	Cassetta sonora	R1	BIBLIOTECA COLLI PORTUENSI	1	1
CS	Cassetta sonora	S1	BIBLIOTECA GIORDANO BRUNO	8	8
CS	Cassetta sonora	T1	BIBLIOTECA VALLE AURELIA	6	8
CS	Cassetta sonora	U1	BIBLIOTECA FRANCO BASAGLIA	31	34
CS	Cassetta sonora	V1	BIBLIOTECA GALLINE BIANCHE	2	4
CS	Cassetta sonora	H2	BIBLIOTECA BORGHESIANA	5	5
CS	Cassetta sonora	A5	BIBLIOTECA CASA DELLA MEMORIA	1	1
CS	Cassetta sonora	L3	BIBLIOTECA CASA DEI BIMBI	3	3
CS	Cassetta sonora	O1	BIBLIOTECA SANDRO ONOFRI	4	4
CT	Cartografia manoscritta	Q2	BIBLIOTECA RENATO NICOLINI	1	1
DD	Dual disc	A1	BIBLIOTECA EUROPEA	1	2
DD	Dual disc	A2	PIM CENTRALE	1	1
DD	Dual disc	B3	BIBLIOTECA FLAMINIA	1	1
DD	Dual disc	F1	BIBLIOTECA GOFFREDO MAMELI	1	1
DD	Dual disc	G1	BIBLIOTECA GIANNI RODARI	1	1
DD	Dual disc	H1	BIBLIOTECA RUGANTINO	1	1
DD	Dual disc	N1	BIBLIOTECA PIER PAOLO PASOLINI	1	1
DD	Dual disc	Q1	BIBLIOTECA GUGLIELMO MARCONI	3	3
DD	Dual disc	Q2	BIBLIOTECA RENATO NICOLINI	1	1
DD	Dual disc	T1	BIBLIOTECA VALLE AURELIA	1	1
DD	Dual disc	T2	BIBLIOTECA CORNELIA	1	1
DD	Dual disc	U1	BIBLIOTECA FRANCO BASAGLIA	1	1
DD	Dual disc	H2	BIBLIOTECA BORGHESIANA	1	1
DV	DVD	A1	BIBLIOTECA EUROPEA	1756	1986
DV	DVD	A2	PIM CENTRALE	1390	1582
DV	DVD	A3	BIBLIOTECA ENZO TORTORA	3137	3655
DV	DVD	B1	BIBLIOTECA VILLA LEOPARDI	3778	4343
DV	DVD	B3	BIBLIOTECA FLAMINIA	2060	2195
DV	DVD	BR	BIBLIOTECA CENTRALE PER RAGAZZI	1762	2048
DV	DVD	C1	BIBLIOTECA TULLIO DE MAURO	1593	1721
DV	DVD	D1	BIBLIOTECA ENNIO FLAIANO	2142	2461
DV	DVD	E1	BIBLIOTECA VACCHERIA NARDI	2103	2361
DV	DVD	F1	BIBLIOTECA GOFFREDO MAMELI	2133	2377
DV	DVD	F2	BIBLIOTECA PENAZZATO	1430	1622
DV	DVD	G1	BIBLIOTECA GIANNI RODARI	1811	2055
DV	DVD	H1	BIBLIOTECA RUGANTINO	1747	1963
DV	DVD	I1	BIBLIOTECA NELSON MANDELA	2493	2770
DV	DVD	L1	BIBLIOTECA RAFFAELLO	2226	2356
DV	DVD	M1	BIBLIOCAFFE' LETTERARIO	3497	3870
DV	DVD	N1	BIBLIOTECA PIER PAOLO PASOLINI	1785	2003
DV	DVD	O2	BIBLIOTECA ELSA MORANTE	2666	2929
DV	DVD	Q1	BIBLIOTECA GUGLIELMO MARCONI	3180	3532
DV	DVD	Q2	BIBLIOTECA RENATO NICOLINI	2983	3293
DV	DVD	R1	BIBLIOTECA COLLI PORTUENSI	1098	1253
DV	DVD	R2	BIBLIOTECA LONGHENA	1349	1374
DV	DVD	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	1134	1273
DV	DVD	S1	BIBLIOTECA GIORDANO BRUNO	1501	1669
DV	DVD	T1	BIBLIOTECA VALLE AURELIA	2014	2180
DV	DVD	T2	BIBLIOTECA CORNELIA	3256	3540
DV	DVD	U1	BIBLIOTECA FRANCO BASAGLIA	3443	3821
DV	DVD	V1	BIBLIOTECA GALLINE BIANCHE	1806	2073
DV	DVD	WF	BIBLIOTECA WWF ITALIA P.L.FLORIO	46	50
DV	DVD	Z3	REGINA COELI SEZIONE 6	2	2
DV	DVD	Z4	REBIBBIA NUOVO COMPLESSO	962	1008
DV	DVD	ZZ	COMUNE DI ROMA - CENTRO SISTEMA	1	1
DV	DVD	H2	BIBLIOTECA BORGHESIANA	1290	1459
DV	DVD	A5	BIBLIOTECA CASA DELLA MEMORIA	295	340
DV	DVD	L3	BIBLIOTECA CASA DEI BIMBI	1036	1150
DV	DVD	O1	BIBLIOTECA SANDRO ONOFRI	2444	2696
DV	DVD	U2	BIBLIOTECA CASA DEL PARCO	1058	1109
DV	DVD	G2	TEATRO BIBLIOTECA QUARTICCIOLO	1565	1775
DV	DVD	WS	BIBLIOTECA DI STATISTICA	1	1
DV	DVD	WA	BIBLIOTECA FABRIZIO GIOVENALE	485	540
DV	DVD	A6	BIBLIOTECA CASA DELLE TRADUZIONI	16	19
DV	DVD	WC	BIBLIOTECA ARGENTINA	14	14
DV	DVD	H3	COLLINA DELLA PACE	178	190
DV	DVD	E2	BIBLIOTECA ALDO FABRIZI	451	475
DV	DVD	WG	B. COSTANZO LICEO GIULIO CESARE	32	32
GZ	Manifesto Locandina	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	3544	3569
GZ	Manifesto Locandina	G2	TEATRO BIBLIOTECA QUARTICCIOLO	2	2
KM	Multimediale	A1	BIBLIOTECA EUROPEA	9	40
KM	Multimediale	A2	PIM CENTRALE	3	6
KM	Multimediale	A3	BIBLIOTECA ENZO TORTORA	2	4
KM	Multimediale	B1	BIBLIOTECA VILLA LEOPARDI	12	39
KM	Multimediale	B3	BIBLIOTECA FLAMINIA	11	38
KM	Multimediale	D1	BIBLIOTECA ENNIO FLAIANO	16	32
KM	Multimediale	E1	BIBLIOTECA VACCHERIA NARDI	2	2
KM	Multimediale	F1	BIBLIOTECA GOFFREDO MAMELI	1	3
KM	Multimediale	F2	BIBLIOTECA PENAZZATO	2	7
KM	Multimediale	G1	BIBLIOTECA GIANNI RODARI	2	18
KM	Multimediale	H1	BIBLIOTECA RUGANTINO	5	25
KM	Multimediale	I1	BIBLIOTECA NELSON MANDELA	1	2
KM	Multimediale	L1	BIBLIOTECA RAFFAELLO	3	3
KM	Multimediale	M1	BIBLIOCAFFE' LETTERARIO	2	19
KM	Multimediale	N1	BIBLIOTECA PIER PAOLO PASOLINI	5	25
KM	Multimediale	O2	BIBLIOTECA ELSA MORANTE	11	29
KM	Multimediale	Q1	BIBLIOTECA GUGLIELMO MARCONI	3	6
KM	Multimediale	Q2	BIBLIOTECA RENATO NICOLINI	4	36
KM	Multimediale	R2	BIBLIOTECA LONGHENA	3	3
KM	Multimediale	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	4	7
KM	Multimediale	S1	BIBLIOTECA GIORDANO BRUNO	1	1
KM	Multimediale	T1	BIBLIOTECA VALLE AURELIA	2	36
KM	Multimediale	H2	BIBLIOTECA BORGHESIANA	5	12
KM	Multimediale	O1	BIBLIOTECA SANDRO ONOFRI	1	2
LA	Testo a stampa (antico)	A2	PIM CENTRALE	37	41
LA	Testo a stampa (antico)	H1	BIBLIOTECA RUGANTINO	1	1
LA	Testo a stampa (antico)	Q1	BIBLIOTECA GUGLIELMO MARCONI	142	142
LA	Testo a stampa (antico)	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	20	20
LI	Libretto	A1	BIBLIOTECA EUROPEA	11	11
LI	Libretto	A3	BIBLIOTECA ENZO TORTORA	1	1
LI	Libretto	B3	BIBLIOTECA FLAMINIA	1	1
LI	Libretto	G1	BIBLIOTECA GIANNI RODARI	1	1
LI	Libretto	H1	BIBLIOTECA RUGANTINO	1	4
LI	Libretto	L1	BIBLIOTECA RAFFAELLO	2	2
LI	Libretto	N1	BIBLIOTECA PIER PAOLO PASOLINI	5	5
LI	Libretto	Q1	BIBLIOTECA GUGLIELMO MARCONI	4	4
LI	Libretto	Q2	BIBLIOTECA RENATO NICOLINI	4	4
LI	Libretto	R1	BIBLIOTECA COLLI PORTUENSI	1	1
LI	Libretto	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	74	78
LI	Libretto	T1	BIBLIOTECA VALLE AURELIA	1	1
LI	Libretto	H2	BIBLIOTECA BORGHESIANA	1	1
LI	Libretto	O1	BIBLIOTECA SANDRO ONOFRI	3	3
LI	Libretto	G2	TEATRO BIBLIOTECA QUARTICCIOLO	1	1
LM	Testo a stampa (moderno)	A1	BIBLIOTECA EUROPEA	26149	27054
LM	Testo a stampa (moderno)	A2	PIM CENTRALE	31337	32461
LM	Testo a stampa (moderno)	A3	BIBLIOTECA ENZO TORTORA	21009	21847
LM	Testo a stampa (moderno)	A4	BIBLIOTECA DELL'AVVOCATURA	3386	3648
LM	Testo a stampa (moderno)	B1	BIBLIOTECA VILLA LEOPARDI	17762	18433
