NUMERO ESERCIZIO;DATA INIZIO;CODICE_VIA;DESCRIZIONE VIA;CIVICO;ESP CIVICO;SUPERFICIE TOTALE;CODICE MACRO ATTIVITA;DESCRIZIONE ATTIVITA;TIPO ATTIVITA;DESCRIZIONE ATTIVITA;CODICE SPECIALIZZAZIONE;DESCRIZIONE SPECIALIZZAZIONE;SETTORE ALIMENTARE;SETTORE NON ALIMENTARE
3642;20021022;72380;LARGO MILLESIMO;11; ;65.2;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3643;19990716;107767;VIA TRIONFALE;8493; ;123.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE;NON ALIMENTARE
3644;20080807;45012;VIA FRANCESCO MARCONI;4;A;32.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3645;20080916;8107;VIA ANTONIO PANIZZI;69; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE;NON ALIMENTARE
3649;20080805;23650;VIA DI CASAL DEL MARMO;394;B;130.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3651;20080813;102872;VIA DELLA STORTA;8; ;0.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3653;20080916;106557;VIA DI TORREVECCHIA;813; ;31.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE;NON ALIMENTARE
3654;20080904;68970;VIA DI S. MARIA DI GALERIA;213; ;0.0;8;ALTRE ATTIVITA';17;VENDITA AL PUBBLICO PER PRODUTTORI;0;; ; 
3655;20080918;5489;LARGO ANDREA BARBAZZA;32; ;60.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
3657;20010720;98955;VIA DI SELVA CANDIDA;252; ;118.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3658;20010720;98955;VIA DI SELVA CANDIDA;252; ;0.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3659;20010720;98955;VIA DI SELVA CANDIDA;252; ;118.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3660;20080923;93950;VIA ROBBIO;62; ;368.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3662;20020716;15477;VIA DI BOCCEA;1170; ;0.0;7;Ex art. 19 del D.P.R. 616/77 (T.U.L.P.S.);72;VENDITA COSE USATE E ANTICHE;0;;;
3664;20080923;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
3665;20080923;23650;VIA DI CASAL DEL MARMO;399; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3666;20080925;21625;VIA CARLO LIVI;5; ;0.0;1;COMMERCIO IN SEDE FISSA;5;VENDITA PRESSO IL DOMICILIO DEI CONSUMATORI;0;; ; 
3669;19850622;71235;VIALE DELLE MEDAGLIE D'ORO;83; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3670;20080930;137621;VIA GORLAGO;59; ;0.0;1;COMMERCIO IN SEDE FISSA;5;VENDITA PRESSO IL DOMICILIO DEI CONSUMATORI;0;; ; 
3671;20010626;53350;VIA GIOVANNI STEFANO BONACOSSA;3;F;44.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3672;20081002;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3674;20081007;44363;VIA FRANCESCO CHERUBINI;4;A;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3675;20080924;6149;VIA ANGELO MARIA BANDINI;19; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3677;20080930;137621;VIA GORLAGO;59; ;0.0;1;COMMERCIO IN SEDE FISSA;5;VENDITA PRESSO IL DOMICILIO DEI CONSUMATORI;0;; ; 
6601;20130520;110044;VIA VALLEBONA;9; ;20.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6602;20120306;94931;VIA ROMEO RODRIGUEZ PEREIRA;180;D;30.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
