SEDE;MUNICIPIO;MACROSTRUTTURA;SEDE DOTATA DI HOT SPOT DIGITROMA WIFI
Viale Adriatico 140;Municipio III;Municipio III;Ist. Comprensivo  Ex Montessori
Via Renato Fucini 265;Municipio III;Municipio III;Ist. Comp. Renato Fucini
Via Corrado Alvaro 25;Municipio III;Municipio III;Ist. Comp. Renato Fucini
Via Giuseoppe De Santis 33;Municipio III;Municipio III;Ist. Comp. Uruguay Porta di Roma
Via ISOLE CURZOLANE 71;Municipio III;Municipio III;Ist. Tecnico Martino
Via RUSSOLILLO DON GIUSTINO MARIA 64;Municipio III;Municipio III;Ist.Comp. Elementare A. Frank
Via GENNARO PASQUARIELLO, 27;Municipio III;Municipio III;Istituto Tecnico Industriale Pacinotti Gennaro Pasquariello, 27
Via VAL MAGGIA, 21;Municipio III;Municipio III;Scuola Elementare A. Magnani
Via ZIRARDINI GAETANO 6;Municipio III;Municipio III;Scuola Elementare Chiovini
Viale CARNARO 4 -Piazza MONTE BALDO 2;Municipio III;Municipio III;Scuola Elementare Don Bosco Succ. Parini
Piazza MINUCCIANO, 33;Municipio III;Municipio III;Scuola Elementare e Media  E. Majorana
Via CASTEL GIUBILEO, 41;Municipio III;Municipio III;Scuola Elementare F.Fratini
Via VALLE SCRIVIA, 11;Municipio III;Municipio III;Scuola Elementare G. Parini
Via SEGGIANO, 34;Municipio III;Municipio III;Scuola Elementare J. Piaget A. Magnani
Via ETTORE ROMAGNOLI 59;Municipio III;Municipio III;Scuola Elementare Usai 183 Circolo
Via PERAZZI COSTANTINO 46;Municipio III;Municipio III;Scuola Elementare W. Disney
Via PERAZZI COSTANTINO 30;Municipio III;Municipio III;Scuola Meda Statale  via Perazzi 30 P.Verri
Via ANDO' FLAVIO, 15;Municipio III;Municipio III;Scuola Meda Succ. Toscanini P.za Filattiera
Via PINTOR JAIME, 6;Municipio III;Municipio III;Scuola Media Di Stefano
Largo MONTE SAN GIUSTO, 16;Municipio III;Municipio III;Scuola Media Succ. via Serrapetrana 121
Via VAL DI LANZO, 187;Municipio III;Municipio III;Scuola media Via Val di Lanzo
Via CALCINAIA, 44;Municipio III;Municipio III;Torricella nord scu elem.  succ. chiovini e. 
Via VALDARNO, 6;Municipio III;Municipio III;Istituto comprensivo Via Val Maggia
Piazza GOLA GIUSEPPE, 61;Municipio IV;Municipio IV; Circ.73 Scuola Elementare Casal dei Pazzi Succ. P.Gola Giuseppe, 61
Piazza PAOLO ROSSI, 6;Municipio IV;Municipio IV;129 Circ.Scuola M.Gandhi Torraccia 
Piazza CRIVELLI  RICC. BALSAMO, 66;Municipio IV;Municipio IV;Circ. 92 Scuola Elementare v. Satta Sebastiano 
Via SATTA SEBASTIANO, 84;Municipio IV;Municipio IV;Circ. 92 Scuola Elementare v. Satta Sebastiano, 84
Viale SANTI FERNANDO, 65;Municipio IV;Municipio IV;Circ.177 Scuola Elementare Colli Aniene
Via BALABANOFF ANGELICA, 60;Municipio IV;Municipio IV;Ist. Comp. Angelica Balabanoff
Via PALOMBINI GIOVANNI, 39;Municipio IV;Municipio IV;Ist. Compr. Scuola Elementare E. Salgari
Via RUBELLIA, 31;Municipio IV;Municipio IV;Ist. Comprensivo Scuola Elementare A.Nuzzo Succ. G. Bianco
Via CASAL BIANCO, 140;Municipio IV;Municipio IV;Ist.Comp. E. Montale
Piazza FEDERICO SACCO, 11;Municipio IV;Municipio IV;Istituto Comp. Giorgio Perlasca Plesso Federico Sacco
Via FOSSACESIA, 63;Municipio IV;Municipio IV;Istituto Comprensivo Elementare C.A. Dalla Chiesa succ. Palombini
Via SOMMOVIGO AMEDEO, 40;Municipio IV;Municipio IV;Istituto Tecnico  G.Salvemini
Via Del TUFO, 27;Municipio IV;Municipio IV;Istituto Tecnico Meucci
Via E. V. CALCINAIA;Municipio IV;Municipio IV;Scuola Elem.  Torricella Nord Succ. Chiovini
Piazzale HEGEL, 14;Municipio IV;Municipio IV;Scuola Elementare G. Falcone PL. Hegel,14
Via CORINALDO, 41;Municipio IV;Municipio IV;Scuola Elementare M.Gandhi
Via POLLENZA, 54;Municipio IV;Municipio IV;Scuola Elementare Patalucci Succ. S. Cleto
Via PALENCO LIBERATO, 62;Municipio IV;Municipio IV;Scuola Elementare Rebibbia Succ. 135 C.lo via Palombini
Via FABRIANO, 59;Municipio IV;Municipio IV;Scuola Elementare Savio Domenico Succ.Gandhi
Via MARTINETTI EUFRASIA, 21;Municipio IV;Municipio IV;Scuola Elementare Succ. Cleto Podere Rosa
Via FEDERIGO VERDINOIS, 54;Municipio IV;Municipio IV;Scuola Elementare Verde Rocca Succ. Piccinini
Via FACCHINETTI CIPRIANO, 42;Municipio IV;Municipio IV;Scuola Media Di Liegro Succ. Via Cortina
Piazzale HEGEL, 8  P.zza Gola;Municipio IV;Municipio IV;Scuola Media Stat. A. Sordi Succ. P.za Gola
Via SCALARINI GIUSEPPE, 27;Municipio IV;Municipio IV;Scuola Media Succ. di via F.Santi
Via Lusitania 16;Municipio VII;Municipio VII;43ø CIRCOLO A. MANZONI E GIARDINIERI PLESSO SCUOLA MANZONI VIA LUSITANIA 16
Via dei Fori Imperiali;Municipio I;Municipio I;Fori Imperiali
VIA UGO GUATTARI 45;Municipio V;Municipio V; IC SCUOLA MEDIA BARACCA VIA UGO GUATTARI 45
V. DE MAGISTRIS LUIGI FILIPPO, 15;Municipio V;Municipio V; IST. COMPR. SCU. MEDIA A.DIAZ V. DE MAGISTRIS LUIGI FILIPPO, 15
V. PENAZZATO DINO, 72;Municipio V;Municipio V; IST. COMPR. V. G.B. VALENTE V. PENAZZATO DINO, 72
V. FERRAIRONI FRANCESCO, 38;Municipio V;Municipio V;126 CIRC. ELEM. IQBAL MASIH V. FERRAIRONI FRANCESCO, 38
V. BALZANI ROMOLO, 55;Municipio V;Municipio V;126 CIRC. ELEM. IQBQL MASIH SUCC. -- V. FERRAIRONI 
V. PIROTTA P.R., 95/A;Municipio V;Municipio V;132 CIRC. ELEM.V. PIROTTA P.R., 95/A
PIAZZA DEI MIRTI 31;Municipio V;Municipio V;21ø CIRCOLO FAUSTO CECCONI PLESSO R. PEZZANI PIAZZA DEI MIRTI 31
VIA DEI SESAMI 2;Municipio V;Municipio V;25ø CIRCOLO A. VESPUCCI PLESSO UNGARETTI VIA DEI SESAMI 
VIA CAMILLO MANFRONI 9;Municipio V;Municipio V;4ø CIRCOLO C. PISACANE ELEMENTARE P. MANCINI VIA CAMILLO MANFRONI 9
V. SALICI, 27;Municipio V;Municipio V;82 CIRC. ELEM. SUCC. G. MARCONI V. SALICI, 27
VL. PRIMAVERA, 207;Municipio V;Municipio V;BOTTICELLI IST.TECN. V.LE. PRIMAVERA, 207
V.ACQUA BULICANTE, 30;Municipio V;Municipio V;C. PISACANE ELEM.V. POLICASTRO, 24 -V.ACQUA BULICANTE, 30
V. FILARETE, 21;Municipio V;Municipio V;ELEM. G. DELEDDA SUCC. E. TOTI V. FILARETE, 21
VL. VENEZIA GIULIA, 52;Municipio V;Municipio V;ELEM. G. G. BELLI VL. VENEZIA GIULIA, 52
