INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
LUX APPARTAMENTI;Categoria 1;VIA CASILINA, 3;Mun. VII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;13;19;13;0
ROME SWEET HOME;Categoria 1;VIA ILDEBRANDO DELLA GIOVANNA, 28;Mun. XII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;12;12;12;0
RESIDENZA IN LUCINA;Categoria 1;PIAZZA DI S. LORENZO IN LUCINA, 14;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;3;6;3;0
ROMA LUXURY APARTMENTS;Categoria 1;VIA DEI SERPENTI, 26;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;5;10;3;0
AP59 CONDOTTI I;Categoria 2;VIA BOCCA DI LEONE, 60;Mun. I;Casa Vacanze impr (Appartamento);2;1;0;0;0;0;3;4;14;0
RESIDENZA GIULIA;Categoria 2;VIALE DELLA VENEZIA GIULIA, 131;Mun. V;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;45;91;45;0
RESIDENZA CONTI;Categoria 2;VIA PRENESTINA, 230;Mun. V;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;47;94;47;0
MAITE PORTO DI RIPETTA;Categoria 2;PIAZZA DEL PORTO DI RIPETTA, 1;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;4;11;4;0
FORLANINI FLATS;Categoria 4;VIA PORTUENSE, 471;Mun. XI;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;10;19;5;0
RESIDENZA AURELIA ROMA;Categoria 3;VIA FEDERICO CAMMEO, 13;Mun. XIII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;0;28;14;0
MAYFAIR AURELIA HOUSE;Categoria 3;VIA FEDERICO CAMMEO, 13;Mun. XIII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;11;24;11;0
CEDRO 21;Categoria 4;VICOLO DEL CEDRO, 21;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;6;10;5;0
RELAIS DEI GONZAGA;Categoria 4;VIA DEI GONZAGA, 159;Mun. XII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;3;3;3;0
SOLE AL PANTHEON APARTEMENTS;Categoria 4;SALITA DE' CRESCENZI, 30;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;4;9;3;0
APPARTAMENTI ODERISI;Categoria 4;VIA ODERISI DA GUBBIO, 244;Mun. XI;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;13;25;8;0
TRASTEVERE UNO DUE TRE;Categoria 4;VIA DI S. FRANCESCO A RIPA, 55;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;9;21;3;0
APARTMENTS CAMPO DE' FIORI ROME;Categoria 2;VIA DEI CAPPELLARI, 131;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;4;8;4;0
APARTMENTSAPART;Categoria 4;VIA URBANA, 33;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;0;3;3;0
CASA DE' FIORI APARTMENTS;Categoria 2;VIA DEL BANCO DI S. SPIRITO, 52;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;5;10;1;0
DEA SUITE ROMA;Categoria 3;VIA APPIA NUOVA, 493;Mun. VII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;0;24;9;0
DOLCE VITA ROMA;Categoria 2;VIA DEL MANCINO, 10;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;4;8;4;0
LUNGOTEVERE SUITE;Categoria 3;LUNGOTEVERE DEGLI ARTIGIANI, 20;Mun. XII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;0;20;0;0
PATRIZIA ROMANA PALACE;Categoria 2;VIA DI VIGNA JACOBINI, 48;Mun. XI;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;0;36;0;0
RESIDENZA MONTEVERDE;Categoria 3;VIA VINCENZO MONTI, 10;Mun. XII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;0;10;0;0
THAT'S AMORE HOLIDAYS;Categoria 3;PIAZZA BOLOGNA, 6;Mun. II;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;0;27;0;0
VILLA EMIDIA;Categoria 3;VIA SERVILIA, 8;Mun. VII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;0;0;0;0
NERONE - HOLIDAYS HOUSE;Categoria 4;VIA DEI SERPENTI, 132;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;5;12;3;0
RTH;Categoria 1;VIA GARIBALDI, 59;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
F&J - COLA DI RIENZO;Categoria 2;VIA COLA DI RIENZO, 271;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
SPAGNA APARTMENT;Categoria 2;VIA DEL BABUINO, 127;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;3;1;0
GRETA/ROMY/GRACE/AUDREY;Categoria 4;VIA DI GESU' E MARIA, 16;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;5;7;5;0
PALAZZO OLIVIA;Categoria 3;VIA DEI LEUTARI, 15;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;10;23;7;0
MEDEA;Categoria 4;VIA DEL BOSCHETTO, 87;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;8;17;6;0
MONTECARLO APARTMENTS;Categoria 3;VIA MONTEBELLO, 109;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;12;20;4;0
AURELIA HOUSE AND LOFT;Categoria 2;VIA GIOVANNI PACCHIONI, 31;Mun. XII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;8;14;8;0
FIFTYNINE LUXURY APARTMENTS ROMA INT. 5;Categoria 2;VIA DELLA FREZZA, 56;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
FIFTYNINE LUXURY APARTMENTS ROMA INT. 7;Categoria 2;VIA DELLA FREZZA, 56;Mun. I;Casa Vacanze impr (Appartamento);1;;;;;;1;1;0;0
TREVI APARTMENT;Categoria 2;VIA DEGLI AVIGNONESI, 26;Mun. I;Casa Vacanze impr (Appartamento);;2;;;;;2;4;0;0
CASA VACANZA ROMA TRASTEVERE;Categoria 2;VIA DELLA SCALA, 75;Mun. I;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;1
ALMES APARTMENTS M;Categoria 2;VIA PACHINO, 88;Mun. VI;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;1
RENTALS IN ROME INT.B;Categoria 2;PIAZZA DELLA STAZIONE DI S. PIETRO, 13;Mun. XIII;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
RENTALS IN ROME INT.A;Categoria 2;PIAZZA DELLA STAZIONE DI S. PIETRO, 13;Mun. XIII;Casa Vacanze impr (Appartamento);0;2;0;0;0;0;2;4;4;0
GIARDINO TALENTI;Categoria 1;VIA ETTORE ROMAGNOLI, 54;Mun. III;Casa Vacanze impr (Appartamento);;2;;1;;;3;8;0;0
ROHOME CASA VACANZE;Categoria 2;VIA EMILIO ALBERTARIO, 7;Mun. XIII;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
navona tower apartments 2;Categoria 2;VIA DI TOR MILLINA, 19;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
RENTALS IN ROME INT.C;Categoria 2;PIAZZA DELLA STAZIONE DI S. PIETRO, 13;Mun. XIII;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
RENTALS IN ROME INT.D;Categoria 2;PIAZZA DELLA STAZIONE DI S. PIETRO, 13;Mun. XIII;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
RESIDENZA PICCOLOMINI;Categoria 2;VIA NICOLO' PICCOLOMINI, 49;Mun. XIII;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
RESIDENZA PICCOLOMINI;Categoria 2;VIA NICOLO' PICCOLOMINI, 49;Mun. XIII;Casa Vacanze impr (Appartamento);0;1;0;0;0;0;1;2;8;0
NAVONA PENTHOUSE;Categoria 2;VIA DELLA VETRINA, 28;Mun. I;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;2
FONTANA DI TREVI HOME;Categoria 2;VIA ZUCCHELLI, 23/A;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
NAVONA DELUXE;Categoria 2;VICOLO DELLE VACCHE, 7;Mun. I;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;3
CASA VACANZE S.I. PORTO DI RIPETTA;Categoria 2;PIAZZA DEL PORTO DI RIPETTA, 1;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
CASA VACANZE S.I. MATTONATO;Categoria 2;VIA DEL MATTONATO, 6;Mun. I;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;1
TRIANON COLOSSEO 7;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
TRIANON COLOSSEO 11;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);1;;;;;;1;1;0;0
RESIDENZA PICCOLOMINI;Categoria 2;VIA NICOLO' PICCOLOMINI, 49;Mun. XIII;Casa Vacanze impr (Appartamento);;;1;;;;1;3;0;0
VICO;Categoria 1;VIA GIAMBATTISTA VICO, 40;Mun. II;Casa Vacanze impr (Appartamento);1;2;;;;;3;5;0;0
TRASTEVERE DOUBLE SUITE;Categoria 2;VIA DI S. FRANCESCO A RIPA, 132;Mun. I;Casa Vacanze impr (Appartamento);0;1;0;1;0;0;2;6;0;0
TIBER BAY SUITES TRASTEVERE;Categoria 2;VIA DELLE FRATTE DI TRASTEVERE, 51;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;2;1;0
A CASA DI ARMANDO;Categoria 2;VIA GIUSEPPE PEANO, 20;Mun. XI;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;2;4;1;0
CASA VACANZA QUATTROCANTI;Categoria 1;VIA DEL BABUINO, 179;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;2;1;0
ROME BOUTIQUE APARTMENTS 7B;Categoria 1;VIA GERMANICO, 172;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;2;3;1;0
TRASTEVERE APARTMENT;Categoria 1;VICOLO DI S. AGATA, 15;Mun. I;Casa Vacanze impr (Appartamento);0;1;0;0;0;0;1;2;1;0
ROMA FLAMINIO APARTMENT;Categoria 2;PIAZZA GENTILE DA FABRIANO, 3;Mun. II;Casa Vacanze impr (Appartamento);0;3;0;0;0;0;3;6;2;0
SANTAMAURA APARTMENTS;Categoria 2;VIA SANTAMAURA, 90;Mun. I;Casa Vacanze impr (Appartamento);1;2;0;0;0;0;3;5;0;0
VATICAN STUDIO;Categoria 2;VIA DEGLI SCIPIONI, 110;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;2;1;0
NAZIONALE 221 LUXURY HOME2;Categoria 2;VIA NAZIONALE, 221;Mun. I;Casa Vacanze impr (Appartamento);1;1;0;0;0;0;2;3;1;0
CASA E APPARTAMENTO PER VACANZE SAINT PETER HOME HOLIDAYS;Categoria 2;VIA BONIFACIO VIII, 22;Mun. XIII;Casa Vacanze impr (Appartamento);0;2;0;0;0;0;2;4;0;0
WHITE FAIR LOFT;Categoria 1;VIA GREGORIANA, 20;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;3;1;0
DOMUS COLOSSEUM;Categoria 2;VICOLO DEL BUON CONSIGLIO, 25;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;2;2;1;0
LIV'IN ROMA CAMPO DEI FIORI;Categoria 2;VIA DEL PELLEGRINO, 62;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;2;2;1;0
ROMA CAPUT MUNDI;Categoria 2;VIA S. TELESFORO, 19;Mun. XIII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;2;1;0
HOUSE PURIFICAZIONE HOLIDAY;Categoria 2;VIA DELLA PURIFICAZIONE, 69;Mun. I;Casa Vacanze impr (Appartamento);1;1;0;0;0;0;2;3;1;0
MECENATE'S DOMUS;Categoria 2;VIA MECENATE, 27;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;2;1;0
DIAMONDS & RUST;Categoria 2;VICOLO DEL BOLOGNA, 32;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;2;1;0
VATICAN HOUSE 311;Categoria 2;VIA GREGORIO VII, 407;Mun. XIII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;2;5;1;0
TRASTEVERE SUITE;Categoria 2;VIA DEL MATTONATO, 6;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;1;1;0
LILLI HOME HOLIDAYS;Categoria 2;VIA DELLA STAZIONE TUSCOLANA, 31;Mun. VII;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;2;4;1;0
ROBERTA APARTMENT FONTANA DI TREVI;Categoria 2;VIA IN ARCIONE, 98;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;2;3;1;0
APP LEONCINO DESUGN APARTMENT IN ROME;Categoria 1;VIA DEL LEONCINO, 36;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;2;5;1;0
DOMUS FLOREA SAINT PETER;Categoria 2;VIA CANDIA, 89;Mun. I;Casa Vacanze impr (Appartamento);0;0;0;0;0;0;3;3;1;0
A' 128 PAS DU VATICAN;Categoria 1;VICOLO DEL FARINONE, 28;Mun. I;Casa Vacanze impr (Appartamento);1;;;;;;1;1;0;0
RESIDENZA DI RIPETTA;4 Stelle;VIA DI RIPETTA, 231;Mun. I;Residence;0;6;0;0;0;0;6;12;62;112
PARCO TIRRENO RESIDENCE;4 Stelle;VIA AURELIA, 480;Mun. XIII;Residence;;;;;;;0;0;108;196
RESIDENZA LEONINA;2 Stelle;PIAZZA DEGLI ZINGARI, 4;Mun. I;Residence;2;0;0;0;0;0;2;2;13;19
RESIDENCE SILVA;2 Stelle;VIA ERMANNO WOLF FERRARI, 250;Mun. X;Residence;0;0;0;0;0;0;0;0;29;45
RESIDENCE  PALAZZO AL VELABRO;4 Stelle;VIA DEL VELABRO, 16;Mun. I;Residence;0;3;0;0;0;0;3;6;30;59
OSTELLO PER LA GIOVENTU' THEROMEHELLO;Unica;VIA TORINO, 45;Mun. I;Ostello per la gioventù;0;25;9;23;0;0;57;169;0;0
NEW GENERATION HOSTEL S. MARIA MAGGIORE OSTELLO PER LA GIOVENTU';Unica;VIA DEI QUATTRO CANTONI, 32;Mun. I;Ostello per la gioventù;1;14;;7;;7;29;99;0;0
OSTELLO PER LA GIOVENTU' VILLA MONTEMARIO;Unica;VIA TRIONFALE, 6157;Mun. XIV;Ostello per la gioventù;11;25;0;8;0;0;44;93;0;0
OSTELLO PER LA GIOVANTU' CASA PESSINA;Unica;VIA CAVOUR, 44;Mun. I;Ostello per la gioventù;;2;2;2;;1;7;24;0;0
HOSTEL PRIMA BASE;Unica;VIA OSIMO, 61;Mun. IV;Ostello per la gioventù;5;15;1;1;1;0;23;47;0;0
ROMA SCOUT CENTER;Non Classificata;LARGO DI S. IPPOLITO, 1;Mun. II;Ostello per la gioventù;1;6;2;26;0;0;35;123;0;0
LA CONTRORA;Non Classificata;VIA UMBRIA, 7;Mun. I;Ostello per la gioventù;0;0;0;0;0;0;0;17;0;0
LITUS ROMA HOSTEL;Non Classificata;LUNGOMARE PAOLO TOSCANELLI, 182;Mun. X;Ostello per la gioventù;0;0;0;5;0;0;5;146;0;0
YOUTH STATION HOSTEL;Non Classificata;VIA LIVORNO, 5;Mun. II;Ostello per la gioventù;0;2;0;0;0;0;2;46;0;0
MARELLO;Non Classificata;VIA URBANA, 50;Mun. I;Ostello per la gioventù;8;3;0;0;0;0;11;14;0;0
DOMUS FLAVIA AL COLOSSEO;Categoria 1;VIA DI S. GIOVANNI IN LATERANO, 55;Mun. I;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;2
RESIDENZE ROMANE SPANISH STEPS 2;Categoria 3;VIA DELLA VITE, 90;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
RESIDENZE ROMANE SPANISH STEPS 1;Categoria 3;VIA DELLA VITE, 90;Mun. I;Casa Vacanze impr (Appartamento);;2;;;;;2;4;0;0
THE PLACE AT THE FORUM;Categoria 2;VIA DEGLI IBERNESI, 32;Mun. I;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;1
BORGO PIO SUITES INN;Categoria 2;BORGO PIO, 182;Mun. I;Casa Vacanze impr (Appartamento);;2;;;;;2;4;0;0
RTH;Categoria 1;PIAZZA DI S. COSIMATO, 36;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
ROVERE GUEST HOUSE;Categoria 2;PIAZZA DELLA ROVERE, 97;Mun. I;Casa Vacanze impr (Appartamento);1;1;0;0;0;0;2;3;0;0
SWEET ROME APTS 1;Categoria 2;VIA NOCERA UMBRA, 94/A;Mun. VII;Casa Vacanze impr (Appartamento);1;1;0;0;0;0;2;3;2;0
SWEET ROME APTS 2;Categoria 2;VIA NOCERA UMBRA, 94/A;Mun. VII;Casa Vacanze impr (Appartamento);2;;;;;;2;2;0;0
YOUR HOME AT ROME;Categoria 2;VIALE GUGLIELMO MARCONI, 19;Mun. XI;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
DOMUS RASELLA 1;Categoria 2;VIA RASELLA, 152;Mun. I;Casa Vacanze impr (Appartamento);0;2;0;0;0;0;2;4;2;0
DOMUS RASELLA 3;Categoria 2;VIA RASELLA, 152;Mun. I;Casa Vacanze impr (Appartamento);;1;3;;;;4;11;0;0
CASA VACANZE S.I. TRE CANNELLE;Categoria 2;VIA DELLE TRE CANNELLE, 22;Mun. I;Casa Vacanze impr (Appartamento);1;0;0;0;0;0;1;1;5;0
CASA VACANZE S.I. ANGELO EMO;Categoria 2;VIA ANGELO EMO, 11/B;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
CASA VACANZE S.I. CARROZZE;Categoria 2;VIA DELLE CARROZZE, 44;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
CASA VACANZE S.I. GIOVANNI PRATI;Categoria 2;VIA GIOVANNI PRATI, 1/A;Mun. XII;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;2
CASA VACANZE S.I. CORSINI;Categoria 2;VIA CORSINI, 10/C;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
CASA VACANZE S.I. SANT'AMBROGIO;Categoria 2;VIA DI S. AMBROGIO, 7;Mun. I;Casa Vacanze impr (Appartamento);;2;;;;;2;4;0;0
CASA VACANZE S.I. CIMARRA DUE;Categoria 2;VIA CIMARRA, 37;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
CASA VACANZE S.I. CARROZZE DUE;Categoria 2;VIA DELLE CARROZZE, 44;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
CASA VACANZE S.I. CIMARRA;Categoria 2;VIA CIMARRA, 37;Mun. I;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;1
CASA VACANZE S.I. FARINI;Categoria 2;VIA FARINI, 62;Mun. I;Casa Vacanze impr (Appartamento);1;2;;;;;3;5;0;0
TRIANON COLOSSEO 4;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
TRIANON COLOSSEO 8;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
TRIANON COLOSSEO 12;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
TRIANON COLOSSEO 1;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);;2;;;;;2;4;0;0
TRIANON COLOSSEO 13;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);1;;;;;;1;1;0;0
TRIANON COLOSSEO 6;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
TRIANON COLOSSEO 14;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);1;1;;;;;2;3;0;0
TRIANON COLOSSEO 2;Categoria 1;VIA GIOVANNI PASCOLI, 20;Mun. I;Casa Vacanze impr (Appartamento);1;;;;;;1;1;0;0
CASA E APPARTAMENTI PER VACANZE CASA VACANZE LA MAISON A SAN PIETRO;Categoria 2;VIALE GIULIO CESARE, 137;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
LOTF 107;Categoria 2;VIALE GIULIO CESARE, 107;Mun. I;Casa Vacanze impr (Appartamento);;;;;;;0;0;1;4
APARTMENTSAPART XIV;Categoria 2;VIA DELLE FORNACI, 70;Mun. XIII;Casa Vacanze impr (Appartamento);1;;;;;;1;1;0;0
FIFTYNINE LUXURY APARTMENTS ROMA INT. 10;Categoria 2;VIA DELLA FREZZA, 56;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
FIFTYNINE LUXURY APARTMENTS ROMA INT. 3;Categoria 2;VIA DELLA FREZZA, 56;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
FIFTYNINE LUXURY APARTMENTS ROMA INT. 16;Categoria 2;VIA DELLA FREZZA, 56;Mun. I;Casa Vacanze impr (Appartamento);;1;;;;;1;2;0;0
VILLAGGIO SAN GIUSEPPE;Unica;VIA DI SELVA CANDIDA, 671;Mun. XIV;Casa per ferie;8;16;2;0;0;0;26;46;0;0
CASA PER FERIE FRASSINETTI;Unica;SALITA DI S. ONOFRIO, 38;Mun. I;Casa per ferie;7;9;0;0;0;0;16;25;0;0
ADELE;Unica;VIA BIAGIO PALLAI, 4;Mun. XII;Casa per ferie;15;8;8;0;0;0;31;55;0;0
suore concezioniste missionarie;Unica;VIA BIXIO, 75;Mun. I;Casa per ferie;14;13;1;0;0;0;28;43;0;0
VILLA PACE;Unica;VIA DELLA PISANA, 323;Mun. XII;Casa per ferie;5;10;0;0;0;0;15;25;0;0
IL ROSARIO CASA PER FERIE;Unica;VIA DI S. AGATA DEI GOTI, 10;Mun. I;Casa per ferie;16;15;4;0;0;0;35;58;0;0
DOMUS SESSORIANA;Unica;PIAZZA DI S. CROCE IN GERUSALEMME, 10;Mun. I;Casa per ferie;35;24;11;10;0;0;80;156;0;0
"CASA PER FERIE "" VILLA SAN GIOVANNI""";Unica;VIA DEL CASALE DI S. PIO V, 1;Mun. XIII;Casa per ferie;33;8;0;0;0;0;41;49;0;0
CASA PER FERIE VILLA MARIA PIA;Unica;VIA AURELIA, 564;Mun. XIII;Casa per ferie;4;8;0;0;0;0;12;20;0;0
Casa per Ferie Nostra Signora di Lourdes;Unica;VIA SISTINA, 113;Mun. I;Casa per ferie;13;2;1;1;0;0;17;24;0;0
ACCOGLIENZA VILLA LANTE DELLE SUORE DEL SACRO CUORE;Unica;VIA DI S. FRANCESCO DI SALES, 18;Mun. I;Casa per ferie;12;11;2;0;0;0;25;40;0;0
VILLA GEMMA;Unica;PIAZZA VULTURE, 15;Mun. III;Casa per ferie;15;3;0;0;0;0;18;21;0;0
DOMUS MARIA SS. CASA PER FERIE;Unica;VIA CAPO DELL'ARGENTIERA, 10;Mun. X;Casa per ferie;0;12;0;0;0;0;12;24;0;0
S. MARIA DEGLI ANGELI;Unica;VIA BIBBONA, 91;Mun. XI;Casa per ferie;13;5;0;0;0;0;18;23;0;0
"CASA PER FERIE ""VIRGEN DEL PILAR""";Unica;VIA ALESSANDRO POERIO, 51/D;Mun. XII;Casa per ferie;2;24;0;0;0;0;26;50;0;0
CASA BETANIA;Unica;VIA PORTUENSE, 741;Mun. XI;Casa per ferie;24;0;0;0;0;0;24;24;0;0
casa per ferie Ravasco San Pietro;Unica;VIA DELLA STAZIONE DI S. PIETRO, 37;Mun. XIII;Casa per ferie;11;15;6;4;0;0;36;75;0;0
NOSTRA SIGNORA MADRE DELLA MISERICORDIA;Unica;VIA DI MONTE CUCCO, 25;Mun. XI;Casa per ferie;76;21;1;0;0;0;98;121;0;0
Casa per ferie CasAmica;Unica;VIA TOMMASO MARIA FUSCO, 55;Mun. IX;Casa per ferie;8;12;2;0;0;0;22;38;0;0
ROSAZ;Unica;VIA ANTONIO CERASI, 17;Mun. XII;Casa per ferie;10;3;0;0;0;0;13;16;0;0
CASA LA SALLE;Unica;VIA AURELIA, 476;Mun. XIII;Casa per ferie;52;71;4;3;0;0;130;218;0;0
"CASA PER FERIE ""SACRO CUORE DI GESU'""";Unica;VIA DI VAL TELLINA, 97;Mun. XII;Casa per ferie;5;7;2;0;0;0;14;25;0;0
"CASA PER FERIE ""PORTA PERTUSA""";Unica;VIA DI PORTA PERTUSA, 2;Mun. XIII;Casa per ferie;5;5;1;0;0;0;11;18;0;0
PARCO DELL'ANIENE;Categoria 2;VIA ROCCAMANDOLFI, 9;Mun. IV;Residence;0;0;0;0;0;0;88;121;88;0
RESIDENZA VILLA AGNESE 2;Categoria 2;VIA DEI CARAFA, 164;Mun. XI;Residence;0;0;0;0;0;0;16;28;16;0
RESIDENZA VILLA AGNESE;Categoria 2;VIA DELLA CASETTA MATTEI, 315;Mun. XI;Residence;0;0;0;0;0;0;25;40;25;0
RESIDENCE SACCONI;Categoria 4;VIA GIUSEPPE SACCONI, 12;Mun. II;Residence;0;0;0;0;0;0;0;130;44;0
EUR TORRINO;Categoria 3;VIA DI DECIMA, 245;Mun. IX;Residence;0;0;0;0;0;0;17;25;17;0
AURELIA RESIDENCE SAN PIETRO;Categoria 4;VIA AURELIA, 145;Mun. XIII;Residence;0;0;0;0;0;0;25;70;0;0
I TRIANGOLI SUITES;Categoria 2;VIA ERMANNO WOLF FERRARI, 289;Mun. X;Residence;0;0;0;0;0;0;74;105;74;0
RESIDENCE VILLA TASSONI;Categoria 3;VIALE DELLE MEDAGLIE D'ORO, 134;Mun. I;Residence;0;0;0;0;0;0;38;52;0;0
RESIDENCE TORRE;Categoria 3;VIA DEL PADIGLIONE, 30;Mun. VI;Residence;0;0;0;0;0;0;0;21;16;0
BOCCA DI LEONE;Categoria 2;VIA BOCCA DI LEONE, 63;Mun. I;Residence;0;0;0;0;0;0;7;15;0;0
ALDROVANDI RESIDENCE CITY SUITES;Categoria 4;VIA ULISSE ALDROVANDI, 11;Mun. II;Residence;0;0;0;0;0;0;0;85;41;0
RESIDENCE CENTRO STORICO HEART OF ROME;Categoria 2;VIA DELLE CARROZZE, 25;Mun. I;Residence;0;0;0;0;0;0;1;13;6;0
COLLINA DELLE MUSE;Categoria 2;VIA DI BOCCEA, 488;Mun. XIII;Residence;0;0;0;0;0;0;9;18;9;0
RESIDENCE PRATI;Categoria 2;VIA GIOVANNI NICOTERA, 26;Mun. I;Residence;0;0;0;0;0;0;0;60;38;0
RESIDENCE SANTA ROSA;Categoria 3;VIA DELLA STORTA, 591;Mun. XIV;Residence;0;0;0;0;0;0;28;40;0;0
