INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
HOME SWEET HOME TRASTEVERE;Categoria 2;VIA DELLA SCALA, 9;Mun. I;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
FRICCICO DI LUNA;Categoria 2;VIA DELLA STAZIONE DI S. PIETRO, 20;Mun. XIII;Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;2;3;0;0
CASA E APPARTAMENTO PER VACANZE ROSA'S PLACE;Categoria 1;VIALE VATICANO, 53;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE CHALET AL VATICANO;Categoria 2;VIA ANGELO EMO, 97;Mun. XIII;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
casa e appartamento per vacanze - giorgio;Categoria 1;VIA ROSA RAIMONDI GARIBALDI, 119;Mun. VIII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE JUNA;Categoria 1;PIAZZA TOMMASO DE CRISTOFORIS, 6;Mun. IV;Casa Vacanze NON impr (Appartamento);;3;;;;;3;6;0;0
DOMUS ROMANA;Categoria 1;VIA SERGIO I, 32;Mun. XIII;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE LA DOLCE VITA 52;Categoria 2;VIA ANTONIO PACINOTTI, 13;Mun. XI;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE SMART HOME;Categoria 1;VIALE DEGLI AMMIRAGLI, 69;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
INSULA PETRI VATICAN APARTMENT# YOUR HOME;Categoria 2;PIAZZA DEI PRATI DEGLI STROZZI, 21;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE ADELINA;Categoria 2;VIA FRANCESCO MASSI, 12;Mun. XII;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
