Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Proxilar com.;Permeplus;Flubex;Rothryn 200;Porter;Tator;Garban;Cipex 10E;Vectobac DT;Aquakhotrine;Diflorex;Cymina Plus;Sandokan 7335;Microsin;Roltab;Amplat;Device TB2;Permex 22E;Aqualarv;Nexa;Diflox;No-Larv;Cyperbase;Cipertrin T;Dudin SC 15;Aedex;Skeetal;Adicip;Zamho;Pertrin S;Rotryn 50;Larvistop;Altogran;K-othrine;Bifemite;Solfac;Deltakill flow;Wacip 1000;Decapy flow;Sumilarv;Exit 100;Fendona;Permesol;Diflox cpr.;Diflox flow.;Deltacid;Toolex;Permebase;Garban;Cipekill;Nurelle;Bio-Amplat;Aquacyp;Vectomax;Boxtar;Delta Super;Fenthrin;Mida tarvis;Deadyna;Green Larv;Veloxidin;Baycidal WP 25;Aquapy;Permebase
Via Paola Falconieri 97;00152;RM;Roma;12;Italia;larvicida e adulticida;4;4;giu-15;ott-15;giu-15;ott-15;mensile;mensile;;;;x;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Torcegno 52;00124;RM;Roma;10;Italia;larvicida;6;0;mag-15;ott-15;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Mezzocorona 10;00124;RM;Roma;10;Italia;larvicida;6;0;mag-15;ott-15;-;-;mensile;-;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Laurentina 818;00143;RM;Roma;9;Italia;larvicida e adulticida;4;4;mag-15;set-15;mag-15;set-15;3 settimane;3 settimane;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via F. Saverio Benucci 47;00149;RM;Roma;11;Italia;larvicida e adulticida;7;7;22/05/2015;14/08/2015;22/05/2015;14/08/2015;2 settimane;2 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Ostiense 150;00154;RM;Roma;8;Italia;larvicida;6;0;03/06/2015;30/09/2015;03/06/2015;30/09/2015;20-25 giorni;20-25 giorni;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Menofilo 58;00178;RM;Roma;8;Italia;larvicida;6;0;03/06/2015;30/09/2015;03/06/2015;30/09/2015;20-25 giorni;20-25 giorni;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via M. Lizzani 59-64-77;00169;RM;Roma;6;Italia;larvicida e adulticida;7;7;27/05/2015;02/09/2015;27/05/2015;02/09/2015;2 settimane;2 settimane;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Guardiagrele 2;00132;RM;Roma;6;Italia;larvicida;13;0;15/03/2015;30/09/2015;-;-;2 settimane;-;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via del Vantaggio 37;00186;RM;Roma;1;Italia;larvicida;5;0;15/06/2015;20/10/2015;-;-;mensile;-;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della Lupa 11;00186;RM;Roma;1;Italia;larvicida;5;0;15/06/2015;20/10/2015;-;-;mensile;-;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Monte Favino 5;00139;RM;Roma;3;Italia;larvicida e adulticida;2;2;03/06/2015;31/07/2015;03/06/2015;31/07/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val Padana 44;00141;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val Padana 65;00141;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val Padana 66;00141;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val di Chienti 10;00141;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Conca d'Oro 220;00141;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Lago Lesina 20;00199;RM;Roma;2;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Monte Grimano 10;00132;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Val di Canzo 144;00141;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Capraia 58-70;00139;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Tripoli 108;00199;RM;Roma;2;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Gran Sasso 43;00151;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Capuana 22;00137;RM;Roma;3;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piazza Acilia 3;00199;RM;Roma;2;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Largo Bradano 4;00199;RM;Roma;2;Italia;larvicida e adulticida;4;4;03/06/2015;30/09/2015;03/06/2015;30/09/2015;mensile;mensile;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
