AL	ALTRI LAVORATORI DIPENDENTI	37	01010	PASSCARD	RMB-L1	2018/01/15	2019/01/15	0
AL	ALTRI LAVORATORI DIPENDENTI	38		PASSCARD	RMB-G1	2018/01/20	2019/01/20	10
AL	ALTRI LAVORATORI DIPENDENTI	38	00054	BIBLIOCARD	RMB-C1	2018/01/03	2019/01/03	2
AL	ALTRI LAVORATORI DIPENDENTI	38	00126	BIBLIOCARD	RMB-F1	2018/01/02	2019/01/02	0
AL	ALTRI LAVORATORI DIPENDENTI	38	00132	PASSCARD	RMB-G2	2018/01/05	2019/01/05	2
AL	ALTRI LAVORATORI DIPENDENTI	38	00135	PASSCARD	RMB-T1	2018/01/16	2019/01/16	2
AL	ALTRI LAVORATORI DIPENDENTI	38	00141	BIBLIOCARD	RMB-M1	2018/01/21	2018/12/17	0
AL	ALTRI LAVORATORI DIPENDENTI	38	00148	PASSCARD	RMB-Q2	2018/01/15	2019/01/15	3
AL	ALTRI LAVORATORI DIPENDENTI	38	28100	BIBLIOCARD	RMB-M1	2018/01/31	2019/01/31	6
AL	ALTRI LAVORATORI DIPENDENTI	39		BIBLIOCARD	RMB-F2	2018/01/31	2019/01/31	3
AL	ALTRI LAVORATORI DIPENDENTI	39		BIBLIOCARD	RMB-M1	2018/01/25	2019/01/25	1
AL	ALTRI LAVORATORI DIPENDENTI	39	00125	PASSCARD	RMB-O1	2018/01/25	2019/01/25	0
AL	ALTRI LAVORATORI DIPENDENTI	39	00143	BIBLIOCARD	RMB-O2	2018/01/08	2019/01/08	8
AL	ALTRI LAVORATORI DIPENDENTI	39	00185	PASSCARD	RMB-U1	2018/01/13	2019/01/13	2
AL	ALTRI LAVORATORI DIPENDENTI	40	00100	BIBLIOCARD	RMB-E1	2018/01/30	2019/01/30	7
AL	ALTRI LAVORATORI DIPENDENTI	40	00135	BIBLIOCARD	RMB-U2	2018/01/18	2019/01/18	4
AL	ALTRI LAVORATORI DIPENDENTI	40	00148	BIBLIOCARD	RMB-Q2	2018/01/02	2019/01/02	0
AL	ALTRI LAVORATORI DIPENDENTI	40	00152	BIBLIOCARD	RMB-R1	2018/01/25	2019/01/25	3
AL	ALTRI LAVORATORI DIPENDENTI	40	00169	PASSCARD	RMB-H1	2018/01/31	2019/01/31	2
AL	ALTRI LAVORATORI DIPENDENTI	40	00175	BIBLIOCARD	RMB-F1	2018/01/18	2019/01/18	0
AL	ALTRI LAVORATORI DIPENDENTI	40	00176	BIBLIOCARD	RMB-F1	2018/01/14	2019/01/14	0
AL	ALTRI LAVORATORI DIPENDENTI	40	00185	PASSCARD	RMB-C1	2018/01/31	2019/01/31	0
AL	ALTRI LAVORATORI DIPENDENTI	41	00123	PASSCARD	RMB-T2	2018/01/05	2019/01/05	2
AL	ALTRI LAVORATORI DIPENDENTI	41	00125	BIBLIOCARD	RMB-O1	2018/01/26	2019/01/26	3
AL	ALTRI LAVORATORI DIPENDENTI	41	00137	PASSCARD	RMB-A1	2018/01/25	2019/01/25	1
AL	ALTRI LAVORATORI DIPENDENTI	41	00141	BIBLIOCARD	RMB-D1	2018/01/03	2019/01/03	0
AL	ALTRI LAVORATORI DIPENDENTI	41	00146	PASSCARD	RMB-R1	2018/01/14	2019/01/14	0
AL	ALTRI LAVORATORI DIPENDENTI	41	00163	BIBLIOCARD	RMB-R2	2018/01/30	2019/01/30	3
AL	ALTRI LAVORATORI DIPENDENTI	41	00163	PASSCARD	RMB-R2	2018/01/18	2019/01/18	15
AL	ALTRI LAVORATORI DIPENDENTI	41	00169	PASSCARD	RMB-G1	2018/01/03	2019/01/03	12
AL	ALTRI LAVORATORI DIPENDENTI	41	00171	BIBLIOCARD	RMB-F2	2018/01/03	2019/01/03	13
AL	ALTRI LAVORATORI DIPENDENTI	41	00172	BIBLIOCARD	RMB-F2	2018/01/08	2019/01/08	0
AL	ALTRI LAVORATORI DIPENDENTI	41	00172	PASSCARD	RMB-G2	2018/01/13	2019/01/13	1
AL	ALTRI LAVORATORI DIPENDENTI	41	00175	BIBLIOCARD	RMB-L1	2018/01/11	2019/01/11	1
AL	ALTRI LAVORATORI DIPENDENTI	41	00175	PASSCARD	RMB-L1	2018/01/22	2019/01/22	3
AL	ALTRI LAVORATORI DIPENDENTI	41	00176	PASSCARD	RMB-E1	2018/01/27	2019/01/27	3
AL	ALTRI LAVORATORI DIPENDENTI	41	00177	BIBLIOCARD	RMB-I1	2018/01/08	2019/01/08	27
AL	ALTRI LAVORATORI DIPENDENTI	41	00192	PASSCARD	RMB-I1	2018/01/08	2019/01/08	10
AL	ALTRI LAVORATORI DIPENDENTI	42		BIBLIOCARD	RMB-F2	2018/01/19	2019/01/19	0
AL	ALTRI LAVORATORI DIPENDENTI	42		PASSCARD	RMB-O2	2018/01/03	2019/01/03	5
AL	ALTRI LAVORATORI DIPENDENTI	42	00163	BIBLIOCARD	RMB-Q2	2018/01/11	2019/01/11	10
AL	ALTRI LAVORATORI DIPENDENTI	43	00049	PASSCARD	RMB-M1	2018/01/27	2019/01/27	0
AL	ALTRI LAVORATORI DIPENDENTI	43	00127	PASSCARD	RMB-O1	2018/01/19	2019/01/19	4
AL	ALTRI LAVORATORI DIPENDENTI	43	00132	PASSCARD	RMB-H2	2018/01/29	2019/01/29	0
AL	ALTRI LAVORATORI DIPENDENTI	43	00146	PASSCARD	RMB-Q1	2018/01/16	2019/01/16	3
AL	ALTRI LAVORATORI DIPENDENTI	43	00148	PASSCARD	RMB-Q2	2018/01/12	2019/01/12	18
AL	ALTRI LAVORATORI DIPENDENTI	43	00152	PASSCARD	RMB-T1	2018/01/19	2019/01/19	6
AL	ALTRI LAVORATORI DIPENDENTI	43	00153	BIBLIOCARD	RMB-L3	2018/01/15	2019/01/15	0
AL	ALTRI LAVORATORI DIPENDENTI	43	00164	BIBLIOCARD	RMB-Q2	2018/01/17	2019/01/17	3
AL	ALTRI LAVORATORI DIPENDENTI	43	00171	PASSCARD	RMB-G2	2018/01/20	2019/01/20	2
AL	ALTRI LAVORATORI DIPENDENTI	43	00177	BIBLIOCARD	RMB-F1	2018/01/12	2019/01/12	0
AL	ALTRI LAVORATORI DIPENDENTI	43	00179	BIBLIOCARD	RMB-I1	2018/01/26	2019/01/26	0
AL	ALTRI LAVORATORI DIPENDENTI	44	00077	BIBLIOCARD	RMB-H3	2018/01/24	2019/01/04	0
AL	ALTRI LAVORATORI DIPENDENTI	44	00124	BIBLIOCARD	RMB-O2	2018/01/27	2019/01/27	1
AL	ALTRI LAVORATORI DIPENDENTI	44	00128	PASSCARD	RMB-N1	2018/01/11	2019/01/11	7
AL	ALTRI LAVORATORI DIPENDENTI	44	00128	PASSCARD	RMB-N1	2018/01/16	2019/01/16	87
AL	ALTRI LAVORATORI DIPENDENTI	44	00136	BIBLIOCARD	RMB-S1	2018/01/20	2019/01/20	11
AL	ALTRI LAVORATORI DIPENDENTI	44	00139	PASSCARD	RMB-D1	2018/01/12	2019/01/12	1
AL	ALTRI LAVORATORI DIPENDENTI	44	00144	BIBLIOCARD	RMB-N1	2018/01/16	2019/01/16	5
AL	ALTRI LAVORATORI DIPENDENTI	44	00149	PASSCARD	RMB-Q1	2018/01/30	2019/01/30	2
AL	ALTRI LAVORATORI DIPENDENTI	44	00164	BIBLIOCARD	RMB-Q2	2018/01/17	2019/01/17	4
AL	ALTRI LAVORATORI DIPENDENTI	44	00167	PASSCARD	RMB-T1	2018/01/25	2019/01/25	4
AL	ALTRI LAVORATORI DIPENDENTI	44	00186	BIBLIOCARD	RMB-M1	2018/01/30	2019/01/30	0
AL	ALTRI LAVORATORI DIPENDENTI	45	00121	PASSCARD	RMB-O2	2018/01/26	2019/01/26	0
AL	ALTRI LAVORATORI DIPENDENTI	45	00122	PASSCARD	RMB-O2	2018/01/15	2019/01/15	0
AL	ALTRI LAVORATORI DIPENDENTI	45	00128	PASSCARD	RMB-N1	2018/01/23	2019/01/23	0
AL	ALTRI LAVORATORI DIPENDENTI	45	00148	PASSCARD	RMB-Q2	2018/01/11	2019/01/11	0
AL	ALTRI LAVORATORI DIPENDENTI	45	00151	BIBLIOCARD	RMB-R1	2018/01/13	2019/01/13	0
AL	ALTRI LAVORATORI DIPENDENTI	45	00152	PASSCARD	RMB-BR	2018/01/13	2019/01/13	5
AL	ALTRI LAVORATORI DIPENDENTI	45	00157	BIBLIOCARD	RMB-E1	2018/01/05	2019/01/05	8
AL	ALTRI LAVORATORI DIPENDENTI	45	00177	BIBLIOCARD	RMB-F2	2018/01/10	2019/01/10	9
AL	ALTRI LAVORATORI DIPENDENTI	45	00185	BIBLIOCARD	RMB-I1	2018/01/03	2019/01/03	0
AL	ALTRI LAVORATORI DIPENDENTI	46	00152	BIBLIOCARD	RMB-R3	2018/01/25	2019/01/25	0
AL	ALTRI LAVORATORI DIPENDENTI	46	00168	PASSCARD	RMB-U1	2018/01/13	2019/01/13	0
AL	ALTRI LAVORATORI DIPENDENTI	46	00198	BIBLIOCARD	RMB-A1	2018/01/20	2019/01/20	7
AL	ALTRI LAVORATORI DIPENDENTI	47		PASSCARD	RMB-D1	2018/01/31	2019/01/31	0
AL	ALTRI LAVORATORI DIPENDENTI	47	00047	BIBLIOCARD	RMB-H1	2018/01/23	2019/01/23	6
AL	ALTRI LAVORATORI DIPENDENTI	47	00118	BIBLIOCARD	RMB-L3	2018/01/22	2019/01/22	1
AL	ALTRI LAVORATORI DIPENDENTI	47	00139	BIBLIOCARD	RMB-D1	2018/01/25	2019/01/25	0
AL	ALTRI LAVORATORI DIPENDENTI	47	00181	BIBLIOCARD	RMB-I1	2018/01/23	2019/01/23	0
AL	ALTRI LAVORATORI DIPENDENTI	48	00125	PASSCARD	RMB-O1	2018/01/15	2019/01/15	4
AL	ALTRI LAVORATORI DIPENDENTI	48	00133	BIBLIOCARD	RMB-A1	2018/01/11	2019/01/11	2
AL	ALTRI LAVORATORI DIPENDENTI	48	00135	PASSCARD	RMB-V1	2018/01/18	2019/01/18	1
AL	ALTRI LAVORATORI DIPENDENTI	48	00155	BIBLIOCARD	RMB-G1	2018/01/02	2019/01/02	1
AL	ALTRI LAVORATORI DIPENDENTI	48	00156	PASSCARD	RMB-D1	2018/01/11	2019/01/11	6
AL	ALTRI LAVORATORI DIPENDENTI	48	00159	PASSCARD	RMB-G2	2018/01/23	2019/01/23	1
AL	ALTRI LAVORATORI DIPENDENTI	48	00166	PASSCARD	RMB-T2	2018/01/27	2019/01/27	0
AL	ALTRI LAVORATORI DIPENDENTI	48	00166	BIBLIOCARD	RMB-T2	2018/01/29	2019/01/29	4
AL	ALTRI LAVORATORI DIPENDENTI	48	00168	PASSCARD	RMB-U2	2018/01/13	2019/01/13	0
AL	ALTRI LAVORATORI DIPENDENTI	48	00182	BIBLIOCARD	RMB-I1	2018/01/11	2019/01/11	3
AL	ALTRI LAVORATORI DIPENDENTI	48	00182	PASSCARD	RMB-A2	2018/01/19	2019/01/19	0
AL	ALTRI LAVORATORI DIPENDENTI	48	00183	BIBLIOCARD	RMB-I1	2018/01/12	2019/01/12	8
AL	ALTRI LAVORATORI DIPENDENTI	48	00198	PASSCARD	RMB-A1	2018/01/23	2019/01/23	5
AL	ALTRI LAVORATORI DIPENDENTI	49	00121	PASSCARD	RMB-O2	2018/01/18	2019/01/18	4
AL	ALTRI LAVORATORI DIPENDENTI	49	00121	BIBLIOCARD	RMB-O2	2018/01/02	2019/01/02	1
AL	ALTRI LAVORATORI DIPENDENTI	49	00148	BIBLIOCARD	RMB-Q2	2018/01/24	2019/01/24	3
AL	ALTRI LAVORATORI DIPENDENTI	49	00155	BIBLIOCARD	RMB-E1	2018/01/20	2019/01/20	1
AL	ALTRI LAVORATORI DIPENDENTI	49	00157	BIBLIOCARD	RMB-E1	2018/01/18	2019/01/18	11
AL	ALTRI LAVORATORI DIPENDENTI	49	00169	PASSCARD	RMB-G1	2018/01/17	2019/01/17	0
AL	ALTRI LAVORATORI DIPENDENTI	49	00185	PASSCARD	RMB-A1	2018/01/09	2019/01/09	4
AL	ALTRI LAVORATORI DIPENDENTI	49	00186	PASSCARD	RMB-BR	2018/01/04	2019/01/04	0
AL	ALTRI LAVORATORI DIPENDENTI	50	00030	PASSCARD	RMB-L1	2018/01/25	2019/01/25	2
AL	ALTRI LAVORATORI DIPENDENTI	50	00124	BIBLIOCARD	RMB-O1	2018/01/12	2019/01/12	0
AL	ALTRI LAVORATORI DIPENDENTI	50	00128	PASSCARD	RMB-N1	2018/01/02	2019/01/02	1
AL	ALTRI LAVORATORI DIPENDENTI	50	00146	PASSCARD	RMB-O2	2018/01/04	2019/01/04	2
AL	ALTRI LAVORATORI DIPENDENTI	50	00149	PASSCARD	RMB-Q1	2018/01/22	2019/01/22	0
AL	ALTRI LAVORATORI DIPENDENTI	50	00168	PASSCARD	RMB-U1	2018/01/02	2019/01/02	0
AL	ALTRI LAVORATORI DIPENDENTI	50	00174	BIBLIOCARD	RMB-I1	2018/01/08	2019/01/08	2
AL	ALTRI LAVORATORI DIPENDENTI	50	00188	PASSCARD	RMB-V1	2018/01/23	2019/01/23	1
AL	ALTRI LAVORATORI DIPENDENTI	51	00133	PASSCARD	RMB-H3	2018/01/05	2019/01/05	1
AL	ALTRI LAVORATORI DIPENDENTI	51	00141	BIBLIOCARD	RMB-D1	2018/01/02	2019/01/02	8
AL	ALTRI LAVORATORI DIPENDENTI	51	00164	BIBLIOCARD	RMB-Q2	2018/01/24	2018/05/02	0
AL	ALTRI LAVORATORI DIPENDENTI	51	00168	PASSCARD	RMB-U1	2018/01/08	2019/01/08	4
AL	ALTRI LAVORATORI DIPENDENTI	51	00177	PASSCARD	RMB-F2	2018/01/05	2019/01/05	1
AL	ALTRI LAVORATORI DIPENDENTI	51	00182	PASSCARD	RMB-F1	2018/01/15	2019/01/15	1
AL	ALTRI LAVORATORI DIPENDENTI	51	00193	BIBLIOCARD	RMB-O2	2018/01/22	2019/01/22	0
AL	ALTRI LAVORATORI DIPENDENTI	51	00199	PASSCARD	RMB-B3	2018/01/26	2019/01/26	3
AL	ALTRI LAVORATORI DIPENDENTI	52	00125	PASSCARD	RMB-O1	2018/01/08	2019/01/08	9
AL	ALTRI LAVORATORI DIPENDENTI	52	00139	PASSCARD	RMB-D1	2018/01/29	2019/01/29	3
AL	ALTRI LAVORATORI DIPENDENTI	52	00148	BIBLIOCARD	RMB-B3	2018/01/09	2019/01/09	0
AL	ALTRI LAVORATORI DIPENDENTI	52	00166	BIBLIOCARD	RMB-T2	2018/01/12	2019/01/12	0
AL	ALTRI LAVORATORI DIPENDENTI	52	00169	PASSCARD	RMB-H1	2018/01/16	2019/01/16	1
AL	ALTRI LAVORATORI DIPENDENTI	52	00171	PASSCARD	RMB-G2	2018/01/03	2019/01/03	5
AL	ALTRI LAVORATORI DIPENDENTI	52	00185	PASSCARD	RMB-I1	2018/01/19	2019/01/19	3
AL	ALTRI LAVORATORI DIPENDENTI	52	00188	BIBLIOCARD	RMB-F2	2018/01/26	2019/01/26	0
AL	ALTRI LAVORATORI DIPENDENTI	53		BIBLIOCARD	RMB-B3	2018/01/22	2019/01/22	4
AL	ALTRI LAVORATORI DIPENDENTI	53	00118	BIBLIOCARD	RMB-L1	2018/01/13	2019/01/13	5
