Popolazione iscritta in anagrafe al 31 dicembre 2015 per municipio, sesso e singolo anno di età;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Municipio e sesso;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;
;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;Non localizzati;;;Totale;;;;;
Età;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;;;
29;1.465;931;2.396;695;910;1.605;1.047;1.012;2.059;1.019;928;1.947;1.376;1.305;2.681;1.642;1.695;3.337;1.462;1.612;3.074;533;559;1.092;903;861;1.764;1.091;1.090;2.181;768;771;1.539;608;580;1.188;683;623;1.306;924;1.033;1.957;778;830;1.608;10;4;14;15.004;14.744;29.748;;;
30;1.570;993;2.563;786;933;1.719;1.047;1.092;2.139;1.018;1.007;2.025;1.435;1.438;2.873;1.786;1.728;3.514;1.519;1.741;3.260;676;608;1.284;845;984;1.829;1.144;1.132;2.276;831;809;1.640;573;650;1.223;668;690;1.358;1.014;1.034;2.048;845;887;1.732;4;4;8;15.761;15.730;31.491;;;
31;1.532;980;2.512;789;956;1.745;1.076;1.133;2.209;1.081;1.037;2.118;1.614;1.484;3.098;1.851;1.831;3.682;1.630;1.758;3.388;668;689;1.357;933;1.012;1.945;1.233;1.235;2.468;854;868;1.722;622;683;1.305;712;700;1.412;995;1.071;2.066;813;924;1.737;3;6;9;16.406;16.367;32.773;;;
32;1.583;960;2.543;817;986;1.803;1.098;1.129;2.227;1.147;1.050;2.197;1.634;1.551;3.185;1.896;1.822;3.718;1.811;1.813;3.624;704;675;1.379;991;1.011;2.002;1.236;1.240;2.476;897;839;1.736;673;718;1.391;706;761;1.467;1.075;1.168;2.243;802;927;1.729;3;6;9;17.073;16.656;33.729;;;
33;1.537;1.079;2.616;826;999;1.825;1.097;1.294;2.391;1.136;1.054;2.190;1.844;1.675;3.519;1.959;1.963;3.922;1.777;1.872;3.649;714;711;1.425;991;1.013;2.004;1.258;1.318;2.576;899;975;1.874;663;743;1.406;745;807;1.552;1.063;1.191;2.254;893;960;1.853;3;2;5;17.405;17.656;35.061;;;
34;1.467;1.055;2.522;820;1.051;1.871;1.157;1.249;2.406;1.087;1.096;2.183;1.748;1.641;3.389;1.996;1.957;3.953;1.856;1.927;3.783;689;750;1.439;1.038;1.092;2.130;1.358;1.457;2.815;953;968;1.921;718;799;1.517;777;773;1.550;1.094;1.335;2.429;894;1.022;1.916;4;2;6;17.656;18.174;35.830;;;
35;1.556;1.186;2.742;807;1.045;1.852;1.231;1.372;2.603;1.098;1.116;2.214;1.892;1.664;3.556;2.107;2.094;4.201;1.844;1.992;3.836;722;749;1.471;1.000;1.065;2.065;1.364;1.511;2.875;973;977;1.950;755;843;1.598;804;790;1.594;1.125;1.314;2.439;973;1.074;2.047;6;5;11;18.257;18.797;37.054;;;
36;1.516;1.173;2.689;834;1.059;1.893;1.246;1.299;2.545;1.116;1.158;2.274;1.961;1.687;3.648;2.159;2.110;4.269;1.944;2.027;3.971;733;790;1.523;1.050;1.162;2.212;1.447;1.549;2.996;1.041;1.083;2.124;699;877;1.576;870;879;1.749;1.196;1.325;2.521;1.014;1.122;2.136;2;5;7;18.828;19.305;38.133;;;
37;1.652;1.189;2.841;898;1.104;2.002;1.361;1.503;2.864;1.193;1.227;2.420;2.040;1.766;3.806;2.301;2.218;4.519;2.091;2.261;4.352;836;885;1.721;1.191;1.214;2.405;1.496;1.736;3.232;1.110;1.087;2.197;805;917;1.722;886;924;1.810;1.191;1.389;2.580;1.017;1.177;2.194;5;4;9;20.073;20.601;40.674;;;
38;1.558;1.212;2.770;908;1.179;2.087;1.432;1.467;2.899;1.194;1.287;2.481;1.993;1.838;3.831;2.234;2.234;4.468;2.029;2.224;4.253;880;882;1.762;1.064;1.276;2.340;1.659;1.789;3.448;1.135;1.154;2.289;882;1.003;1.885;882;968;1.850;1.223;1.330;2.553;1.071;1.277;2.348;6;4;10;20.150;21.124;41.274;;;
39;1.498;1.299;2.797;1.008;1.296;2.304;1.472;1.645;3.117;1.174;1.278;2.452;1.979;1.897;3.876;2.306;2.261;4.567;2.121;2.392;4.513;925;961;1.886;1.218;1.356;2.574;1.688;1.869;3.557;1.181;1.335;2.516;885;1.006;1.891;950;1.027;1.977;1.297;1.517;2.814;1.078;1.250;2.328;3;7;10;20.783;22.396;43.179;;;
40;1.538;1.425;2.963;998;1.350;2.348;1.532;1.677;3.209;1.317;1.332;2.649;2.049;1.947;3.996;2.396;2.378;4.774;2.279;2.594;4.873;926;974;1.900;1.274;1.481;2.755;1.919;2.159;4.078;1.220;1.358;2.578;924;1.132;2.056;935;1.077;2.012;1.422;1.539;2.961;1.132;1.324;2.456;5;6;11;21.866;23.753;45.619;;;
41;1.591;1.447;3.038;1.060;1.413;2.473;1.623;1.763;3.386;1.364;1.526;2.890;2.079;1.991;4.070;2.456;2.342;4.798;2.439;2.669;5.108;992;1.078;2.070;1.413;1.585;2.998;2.048;2.154;4.202;1.353;1.436;2.789;1.036;1.209;2.245;1.075;1.150;2.225;1.487;1.638;3.125;1.226;1.408;2.634;2;10;12;23.244;24.819;48.063;;;
42;1.563;1.465;3.028;1.184;1.472;2.656;1.686;1.790;3.476;1.361;1.449;2.810;2.080;1.950;4.030;2.406;2.320;4.726;2.428;2.766;5.194;1.009;1.184;2.193;1.383;1.531;2.914;1.970;2.188;4.158;1.359;1.381;2.740;1.048;1.257;2.305;1.044;1.186;2.230;1.541;1.610;3.151;1.317;1.533;2.850;10;7;17;23.389;25.089;48.478;;;
43;1.541;1.585;3.126;1.142;1.481;2.623;1.665;1.903;3.568;1.437;1.533;2.970;2.062;2.005;4.067;2.318;2.253;4.571;2.476;2.751;5.227;959;1.143;2.102;1.479;1.587;3.066;2.071;2.249;4.320;1.445;1.480;2.925;1.138;1.257;2.395;1.070;1.218;2.288;1.436;1.707;3.143;1.223;1.506;2.729;7;15;22;23.469;25.673;49.142;;;
44;1.479;1.556;3.035;1.158;1.569;2.727;1.647;1.804;3.451;1.397;1.424;2.821;1.934;2.076;4.010;2.282;2.220;4.502;2.447;2.673;5.120;1.104;1.171;2.275;1.452;1.663;3.115;2.093;2.207;4.300;1.414;1.517;2.931;1.139;1.314;2.453;1.131;1.229;2.360;1.472;1.758;3.230;1.345;1.584;2.929;7;6;13;23.501;25.771;49.272;;;
45;1.596;1.543;3.139;1.146;1.553;2.699;1.640;1.770;3.410;1.413;1.516;2.929;2.024;2.069;4.093;2.218;2.193;4.411;2.534;2.706;5.240;1.016;1.137;2.153;1.457;1.646;3.103;2.067;2.274;4.341;1.329;1.461;2.790;1.110;1.317;2.427;1.089;1.318;2.407;1.608;1.801;3.409;1.386;1.552;2.938;7;10;17;23.640;25.866;49.506;;;
46;1.471;1.559;3.030;1.200;1.582;2.782;1.645;1.888;3.533;1.366;1.415;2.781;2.010;2.089;4.099;2.210;2.184;4.394;2.500;2.733;5.233;1.020;1.154;2.174;1.576;1.643;3.219;2.136;2.267;4.403;1.404;1.476;2.880;1.109;1.309;2.418;1.126;1.316;2.442;1.632;1.722;3.354;1.354;1.619;2.973;10;9;19;23.769;25.965;49.734;;;
47;1.572;1.591;3.163;1.286;1.586;2.872;1.598;1.838;3.436;1.296;1.551;2.847;2.029;2.090;4.119;2.160;2.232;4.392;2.502;2.732;5.234;1.009;1.132;2.141;1.503;1.681;3.184;2.030;2.249;4.279;1.379;1.386;2.765;1.150;1.251;2.401;1.106;1.334;2.440;1.526;1.794;3.320;1.316;1.543;2.859;8;8;16;23.470;25.998;49.468;;;
48;1.448;1.664;3.112;1.142;1.621;2.763;1.635;1.774;3.409;1.404;1.425;2.829;2.003;2.117;4.120;2.081;2.109;4.190;2.415;2.729;5.144;1.022;1.168;2.190;1.500;1.738;3.238;2.023;2.182;4.205;1.306;1.399;2.705;1.124;1.332;2.456;1.146;1.345;2.491;1.574;1.805;3.379;1.315;1.586;2.901;10;12;22;23.148;26.006;49.154;;;
49;1.561;1.667;3.228;1.266;1.546;2.812;1.708;1.850;3.558;1.410;1.509;2.919;2.055;2.134;4.189;2.065;2.092;4.157;2.497;2.717;5.214;1.004;1.156;2.160;1.524;1.750;3.274;2.036;2.210;4.246;1.306;1.417;2.723;1.169;1.320;2.489;1.194;1.281;2.475;1.661;1.863;3.524;1.341;1.427;2.768;8;10;18;23.805;25.949;49.754;;;
50;1.548;1.672;3.220;1.325;1.633;2.958;1.611;1.836;3.447;1.424;1.527;2.951;2.075;2.199;4.274;2.028;2.092;4.120;2.490;2.862;5.352;1.078;1.259;2.337;1.598;1.759;3.357;2.104;2.126;4.230;1.306;1.322;2.628;1.178;1.304;2.482;1.110;1.294;2.404;1.638;1.809;3.447;1.326;1.443;2.769;9;6;15;23.848;26.143;49.991;;;
51;1.524;1.697;3.221;1.332;1.636;2.968;1.683;1.836;3.519;1.481;1.602;3.083;2.065;2.218;4.283;2.004;2.105;4.109;2.632;2.838;5.470;1.127;1.202;2.329;1.551;1.774;3.325;2.058;2.139;4.197;1.294;1.377;2.671;1.243;1.362;2.605;1.162;1.265;2.427;1.639;1.846;3.485;1.308;1.584;2.892;16;8;24;24.119;26.489;50.608;;;
52;1.440;1.623;3.063;1.217;1.546;2.763;1.579;1.749;3.328;1.385;1.509;2.894;1.979;2.090;4.069;1.949;2.063;4.012;2.436;2.629;5.065;1.003;1.149;2.152;1.504;1.618;3.122;1.953;2.040;3.993;1.168;1.229;2.397;1.045;1.258;2.303;1.037;1.190;2.227;1.516;1.757;3.273;1.230;1.442;2.672;14;4;18;22.455;24.896;47.351;;;
53;1.426;1.526;2.952;1.134;1.442;2.576;1.465;1.709;3.174;1.311;1.500;2.811;1.926;2.023;3.949;1.782;1.907;3.689;2.178;2.569;4.747;948;1.103;2.051;1.451;1.545;2.996;1.817;1.859;3.676;1.160;1.181;2.341;1.034;1.266;2.300;1.049;1.136;2.185;1.452;1.640;3.092;1.202;1.349;2.551;16;8;24;21.351;23.763;45.114;;;
54;1.307;1.448;2.755;1.185;1.498;2.683;1.427;1.633;3.060;1.329;1.447;2.776;1.914;1.920;3.834;1.735;1.868;3.603;2.096;2.611;4.707;947;1.067;2.014;1.404;1.510;2.914;1.642;1.808;3.450;1.058;1.174;2.232;976;1.235;2.211;1.005;1.075;2.080;1.437;1.565;3.002;1.173;1.345;2.518;14;2;16;20.649;23.206;43.855;;;
55;1.322;1.428;2.750;1.126;1.397;2.523;1.346;1.637;2.983;1.171;1.369;2.540;1.712;1.881;3.593;1.657;1.720;3.377;2.105;2.408;4.513;844;988;1.832;1.213;1.455;2.668;1.486;1.672;3.158;972;1.108;2.080;1.030;1.228;2.258;950;1.058;2.008;1.316;1.529;2.845;1.129;1.244;2.373;11;6;17;19.390;22.128;41.518;;;
56;1.288;1.435;2.723;1.095;1.351;2.446;1.252;1.551;2.803;1.146;1.326;2.472;1.614;1.839;3.453;1.589;1.688;3.277;2.048;2.380;4.428;821;1.035;1.856;1.264;1.369;2.633;1.476;1.632;3.108;894;994;1.888;941;1.113;2.054;874;997;1.871;1.271;1.468;2.739;1.070;1.223;2.293;10;4;14;18.653;21.405;40.058;;;
57;1.196;1.344;2.540;992;1.370;2.362;1.291;1.515;2.806;1.101;1.362;2.463;1.518;1.767;3.285;1.474;1.575;3.049;1.996;2.317;4.313;831;969;1.800;1.159;1.307;2.466;1.364;1.509;2.873;852;1.005;1.857;914;1.096;2.010;866;917;1.783;1.231;1.395;2.626;959;1.178;2.137;7;6;13;17.751;20.632;38.383;;;
58;1.154;1.293;2.447;1.010;1.348;2.358;1.262;1.445;2.707;1.104;1.314;2.418;1.602;1.622;3.224;1.486;1.598;3.084;1.876;2.332;4.208;798;1.024;1.822;1.143;1.274;2.417;1.324;1.433;2.757;828;1.007;1.835;925;1.051;1.976;797;960;1.757;1.188;1.342;2.530;970;1.057;2.027;15;6;21;17.482;20.106;37.588;;;
59;1.152;1.311;2.463;1.049;1.255;2.304;1.204;1.481;2.685;1.107;1.274;2.381;1.538;1.633;3.171;1.466;1.499;2.965;1.837;2.143;3.980;777;974;1.751;1.094;1.317;2.411;1.305;1.436;2.741;866;1.007;1.873;896;1.036;1.932;824;895;1.719;1.088;1.338;2.426;889;1.060;1.949;11;3;14;17.103;19.662;36.765;;;
60;1.088;1.337;2.425;1.040;1.298;2.338;1.181;1.452;2.633;1.149;1.327;2.476;1.420;1.593;3.013;1.369;1.361;2.730;1.788;2.149;3.937;741;970;1.711;1.052;1.257;2.309;1.243;1.358;2.601;801;973;1.774;825;1.035;1.860;754;869;1.623;1.005;1.197;2.202;926;1.038;1.964;9;9;18;16.391;19.223;35.614;;;
61;1.069;1.359;2.428;916;1.296;2.212;1.139;1.382;2.521;1.104;1.216;2.320;1.326;1.543;2.869;1.265;1.449;2.714;1.782;2.132;3.914;754;899;1.653;1.031;1.182;2.213;1.221;1.376;2.597;781;901;1.682;805;1.002;1.807;735;865;1.600;1.035;1.239;2.274;787;1.059;1.846;9;7;16;15.759;18.907;34.666;;;
62;995;1.297;2.292;935;1.192;2.127;1.039;1.310;2.349;1.025;1.162;2.187;1.268;1.425;2.693;1.268;1.332;2.600;1.708;1.983;3.691;672;904;1.576;1.027;1.145;2.172;1.098;1.263;2.361;731;905;1.636;746;932;1.678;683;834;1.517;986;1.133;2.119;775;970;1.745;9;7;16;14.965;17.794;32.759;;;
